model,kind,reference,task,information_set,sharing,metric,estimate,ci_low,ci_high,samples,clusters
decomposed_meta_control,metric,,foraging,observable,task_specific,log_loss,0.6373499016469504,0.5317757297567397,0.7581696483449277,2000,59
decomposed_meta_control,metric,,foraging,observable,task_specific,brier,0.22073444230529418,0.18000554032216456,0.26839186239262636,2000,59
decomposed_meta_control,metric,,solvability,observable,task_specific,r_squared,0.7453840341462621,0.6787105918121835,0.7957405208946504,2000,59
decomposed_meta_control,metric,,solvability,observable,task_specific,mse,1.6802204113244728,1.3397034670824544,2.0606316181095448,2000,59
decomposed_meta_control,metric,,solvability,observable,task_specific,log_loss,0.5143329453744334,0.4356636653879459,0.6025997532831707,2000,59
decomposed_meta_control,metric,,solvability,observable,task_specific,brier,0.16531735385734142,0.1348411879746768,0.19680475794080046,2000,59
decomposed_meta_control,metric,,macro,observable,task_specific,r_squared,0.5599032159622908,0.5153845425357784,0.6031698096494603,2000,196
decomposed_meta_control,metric,,macro,observable,task_specific,mse,1.2907316388529735,1.1217807671433253,1.465197247050173,2000,196
decomposed_meta_control,metric,,macro,observable,task_specific,log_loss,0.567828442141069,0.5091956004142463,0.6356444215509054,2000,196
decomposed_meta_control,metric,,macro,observable,task_specific,brier,0.18098280364945754,0.16155404877507173,0.2031173359155222,2000,196
mvt_like_foraging_threshold,metric,,foraging,observable,task_specific,r_squared,0.7130015364514499,0.6289113279967272,0.7768004239434194,2000,59
mvt_like_foraging_threshold,metric,,foraging,observable,task_specific,mse,0.4337331534028312,0.3536208405674294,0.5201768371947625,2000,59
mvt_like_foraging_threshold,metric,,foraging,observable,task_specific,log_loss,0.6424204992951954,0.538071857959659,0.7671914630097688,2000,59
mvt_like_foraging_threshold,metric,,foraging,observable,task_specific,brier,0.2228761416667612,0.18161904848308122,0.26941965750823094,2000,59
mvt_like_foraging_threshold,metric,,macro,observable,task_specific,r_squared,0.7130015364514499,0.6289113279967272,0.7768004239434194,2000,59
mvt_like_foraging_threshold,metric,,macro,observable,task_specific,mse,0.4337331534028312,0.3536208405674294,0.5201768371947625,2000,59
mvt_like_foraging_threshold,metric,,macro,observable,task_specific,log_loss,0.6424204992951954,0.538071857959659,0.7671914630097688,2000,59
mvt_like_foraging_threshold,metric,,macro,observable,task_specific,brier,0.2228761416667612,0.18161904848308122,0.26941965750823094,2000,59
disengagement_accumulator,metric,,bandit,observable,task_specific,r_squared,0.14513432487296268,0.0630849156112021,0.22396842094036779,2000,78
disengagement_accumulator,metric,,bandit,observable,task_specific,mse,1.967783919256852,1.70515199706645,2.2674525665411274,2000,78
disengagement_accumulator,metric,,bandit,observable,task_specific,log_loss,0.5850940016552599,0.4836452304087884,0.6949749130275396,2000,78
disengagement_accumulator,metric,,bandit,observable,task_specific,brier,0.1627129796138142,0.13166872811820626,0.1969854017752635,2000,78
disengagement_accumulator,metric,,foraging,observable,task_specific,r_squared,0.06504660825855832,-0.006568731864099231,0.13835759627168528,2000,59
disengagement_accumulator,metric,,foraging,observable,task_specific,mse,1.4228879652843738,1.1890309573011721,1.684351468710922,2000,59
disengagement_accumulator,metric,,foraging,observable,task_specific,log_loss,0.707646928372177,0.6611035797664845,0.7601082054045504,2000,59
disengagement_accumulator,metric,,foraging,observable,task_specific,brier,0.25364194380438754,0.23287676020930762,0.27711310645680076,2000,59
disengagement_accumulator,metric,,solvability,observable,task_specific,r_squared,0.024575864325884732,-0.08953616820104134,0.11554471861821454,2000,59
disengagement_accumulator,metric,,solvability,observable,task_specific,mse,6.561074704958711,5.147468465659284,8.131568884530934,2000,59
disengagement_accumulator,metric,,solvability,observable,task_specific,log_loss,0.8149085573652979,0.7433246670762694,0.8918257756562905,2000,59
disengagement_accumulator,metric,,solvability,observable,task_specific,brier,0.30423519435974056,0.2713792252972636,0.33921033619860175,2000,59
disengagement_accumulator,metric,,macro,observable,task_specific,r_squared,0.07825226581913525,0.027002183499293023,0.1273034881789887,2000,196
disengagement_accumulator,metric,,macro,observable,task_specific,mse,3.3172488631666455,2.8339234119555345,3.8497688012845055,2000,196
disengagement_accumulator,metric,,macro,observable,task_specific,log_loss,0.7025498291309116,0.6589419157684353,0.7502255494745874,2000,196
disengagement_accumulator,metric,,macro,observable,task_specific,brier,0.24019670592598077,0.2240986456851512,0.2582267459694548,2000,196
latent_commitment,metric,,bandit,observable,task_specific,r_squared,0.2024217468172598,0.10786801375406029,0.28779743376433914,2000,78
latent_commitment,metric,,bandit,observable,task_specific,mse,1.8354295990802676,1.586531339762941,2.10116011689972,2000,78
latent_commitment,metric,,bandit,observable,task_specific,log_loss,0.5759611541034713,0.4758513073953568,0.689202436622624,2000,78
latent_commitment,metric,,bandit,observable,task_specific,brier,0.16156319540160638,0.1309268935613196,0.19603433536757248,2000,78
latent_commitment,metric,,foraging,observable,task_specific,r_squared,0.17303952878957984,0.09290313225703103,0.2537378765626866,2000,59
latent_commitment,metric,,foraging,observable,task_specific,mse,1.2679129979601726,1.0402306177582066,1.525914054247476,2000,59
latent_commitment,metric,,foraging,observable,task_specific,log_loss,0.707472124789539,0.6377743109264641,0.7821767333323841,2000,59
latent_commitment,metric,,foraging,observable,task_specific,brier,0.2527302663305165,0.2225393404744553,0.28511626964014736,2000,59
latent_commitment,metric,,solvability,observable,task_specific,r_squared,0.1690052233480236,0.08688602103975042,0.24592791428241262,2000,59
