r_squared,mse,pearson_r,log_loss,brier,auc,model,code,information_set,sharing,task,states,episodes
-1.3773216815645717,5.517807133017158,1.7101033262022243e-16,0.4666915210427105,0.14561801477050523,0.5,intercept,M0,observable,fully_shared,bandit,1800,78
-0.26188048781441564,1.9349400368073597,2.3645877548943213e-17,0.8291862366523225,0.2975823449618116,0.5,intercept,M0,observable,fully_shared,foraging,364,118
-0.20734033632765425,8.186752002065163,0.0,1.222767943824682,0.46257890334036506,0.5,intercept,M0,observable,fully_shared,solvability,313,118
-0.7358716300398302,4.0289898235110755,0.4346288098586303,0.46199315368359584,0.14656501516224635,0.7702844691717409,time,M1,observable,fully_shared,bandit,1800,78
-0.1986042063072493,1.8379135658770036,-0.4729413204585434,0.7658672825561668,0.2764005742486682,0.36573308529695464,time,M1,observable,fully_shared,foraging,364,118
-0.05392218404088611,7.146451825225896,0.3885229966852403,1.08637124835035,0.4132221878032961,0.6369047619047619,time,M1,observable,fully_shared,solvability,313,118
-0.6890244617906534,3.920256688600682,0.37718561291330854,0.4709289325514163,0.1500853108588293,0.7935337737165299,previous_outcome,M2,observable,fully_shared,bandit,1800,78
-0.9766483893233446,3.0309495583190427,-0.5189694994661879,0.8798473902740438,0.3062618948693144,0.3699186991869919,previous_outcome,M2,observable,fully_shared,foraging,364,118
0.06498563165612581,6.340159871807286,0.48671202919900103,0.9441609600075376,0.36221787016956236,0.6488531309959882,previous_outcome,M2,observable,fully_shared,solvability,313,118
-0.5967558873457455,3.7060996386004597,0.496019622570724,0.43850751270684324,0.13801268930373597,0.8033045964637286,streak,M3,observable,fully_shared,bandit,1800,78
-0.8835325085705581,2.888167696271862,-0.6006659532836219,0.8699475341835768,0.30238591867121517,0.334452941987047,streak,M3,observable,fully_shared,foraging,364,118
0.06568404458444221,6.335424062634742,0.5072689833023307,0.9716690998516015,0.3721881663061683,0.658097854526426,streak,M3,observable,fully_shared,solvability,313,118
-0.568275482499395,3.639996097699345,0.5788152715057299,0.4210459029602309,0.13238785398904535,0.8194744683966205,choice_inertia,M4,observable,fully_shared,bandit,1800,78
-0.2688557361867805,1.9456357306331202,-0.018891744328199084,0.78695227034537,0.2806412696871935,0.5233223094942814,choice_inertia,M4,observable,fully_shared,foraging,364,118
-0.04047966056144103,7.055300554373062,0.3666101126545247,1.0365930034613111,0.3999850839152364,0.6024550845979417,choice_inertia,M4,observable,fully_shared,solvability,313,118
-0.5766620748616349,3.659461532064803,0.5706012858290368,0.4252448252679804,0.13418633299905905,0.8135964723411219,finite_history,M5,observable,fully_shared,bandit,1800,78
-0.2519435820432143,1.9197030020767718,0.0034994659776151635,0.7854722615074302,0.2801619564866562,0.5225127463139038,finite_history,M5,observable,fully_shared,foraging,364,118
-0.03964021536514162,7.049608431419288,0.3687821432748734,1.0361623937487974,0.3998289651892981,0.6052023373451945,finite_history,M5,observable,fully_shared,solvability,313,118
0.28188141439232306,1.6667663803118375,0.5330824989454779,0.5525502531596495,0.15775306050008767,0.7951959762640921,rescorla_wagner,M6,observable,fully_shared,bandit,1800,78
0.2868548310455733,1.65522298923541,0.5373880415745621,0.555833951806922,0.15778211859562347,0.7901835312761065,bayesian,M7,observable,fully_shared,bandit,1800,78
0.5534829355206118,1.0363742788804116,0.7453475629456049,0.49319481877309873,0.1462488027677183,0.8237677739404535,value_history_hybrid,M8,observable,fully_shared,bandit,1800,78
-0.6178401399896101,3.755036574874093,0.22867304209948122,0.4641464117485347,0.14337331060203304,0.6307283547639758,termination_advantage,M9,observable,fully_shared,bandit,1800,78
-0.7000433230628103,2.606809378436988,0.2703974200123929,0.8829666758983907,0.29225594763271184,0.560011023839052,termination_advantage,M9,observable,fully_shared,foraging,364,118
0.006922876841070846,6.733872696538562,0.2001847639814517,0.9317081363764671,0.34733173454566024,0.5167669631955346,termination_advantage,M9,observable,fully_shared,solvability,313,118
-0.2682657320720019,2.9436679761329314,0.4244826275313856,0.4717128007069125,0.14594919633452388,0.7865361593647459,sticky_termination,M10,observable,fully_shared,bandit,1800,78
-0.5417135250268403,2.3640299169920804,0.08624160867992114,0.8404517850471359,0.2867769064056561,0.5075616645996969,sticky_termination,M10,observable,fully_shared,foraging,364,118
0.06821042184469506,6.31829316468408,0.28355657935152223,0.8464683604832307,0.31575355786402115,0.5202337345194488,sticky_termination,M10,observable,fully_shared,solvability,313,118
-0.29111084079595173,2.9966918915959,0.441824495474325,0.46322270745829197,0.14398663271367304,0.6994427745863872,decomposed_meta_control,M11,observable,fully_shared,bandit,1800,78
-0.662972686118176,2.549966071715954,0.19648895524100302,0.8444845271850042,0.281897037743204,0.552397684993799,decomposed_meta_control,M11,observable,fully_shared,foraging,364,118
-0.037157351627277846,7.0327725906333844,0.19645117210347635,1.022832969688162,0.3741014822188739,0.540380254665969,decomposed_meta_control,M11,observable,fully_shared,solvability,313,118
0.7166992975421412,0.43440712249287056,0.8499489950747828,0.6433040707133691,0.2231793535620614,0.7496038307840706,mvt_like_foraging_threshold,M12,observable,fully_shared,foraging,364,118
-0.6178401399896101,3.755036574874093,0.22867304209948122,0.4641464117485347,0.14337331060203304,0.6307283547639758,disengagement_accumulator,M13,observable,fully_shared,bandit,1800,78
-0.7000433230628103,2.606809378436988,0.2703974200123929,0.8829666758983907,0.29225594763271184,0.560011023839052,disengagement_accumulator,M13,observable,fully_shared,foraging,364,118
0.006922876841070846,6.733872696538562,0.2001847639814517,0.9317081363764671,0.34733173454566024,0.5167669631955346,disengagement_accumulator,M13,observable,fully_shared,solvability,313,118
-0.4509023297160899,3.367570861907862,0.3048612010159827,0.46789811925663616,0.14461670800787607,0.670194899708038,latent_commitment,M14,observable,fully_shared,bandit,1800,78
-0.7615849252295297,2.7011759298747573,0.212763661903756,0.8713805756657839,0.28820943086940337,0.5658157640898442,latent_commitment,M14,observable,fully_shared,foraging,364,118
0.003841033750416223,6.754770105772159,0.20896717201576426,0.9440206430944613,0.3492164676494827,0.546746903889761,latent_commitment,M14,observable,fully_shared,solvability,313,118
-0.6178401399896101,3.755036574874093,0.22867304209948122,0.4641464117485347,0.14337331060203304,0.6307283547639758,generic_latent_value,M15,observable,fully_shared,bandit,1800,78
-0.7000433230628103,2.606809378436988,0.2703974200123929,0.8829666758983907,0.29225594763271184,0.560011023839052,generic_latent_value,M15,observable,fully_shared,foraging,364,118
0.006922876841070846,6.733872696538562,0.2001847639814517,0.9317081363764671,0.34733173454566024,0.5167669631955346,generic_latent_value,M15,observable,fully_shared,solvability,313,118
0.5313471254991684,1.0877518990731694,0.7399421669961103,0.48184784452353047,0.14112832781327334,0.7738973912893696,flexible_linear,M16,observable,fully_shared,bandit,1800,78
0.6357540280971643,0.5585268344241641,0.8096911659572427,0.6514378504494074,0.22525708434196326,0.7370469891139589,flexible_linear,M16,observable,fully_shared,foraging,364,118
0.4081628659851887,4.013138380292914,0.6943806479567335,0.6274691951923989,0.2221322682024678,0.7783010640153497,flexible_linear,M16,observable,fully_shared,solvability,313,118
1.0,0.0,1.0,0.38808249446187804,0.11702814500208379,0.8869099396267365,oracle_policy,CEILING,observable,fully_shared,bandit,1800,78
1.0,0.0,1.0,0.6262113436157409,0.21412913978857978,0.7687577511368334,oracle_policy,CEILING,observable,fully_shared,foraging,364,118
1.0,0.0,1.0,0.3970328365209619,0.1261782985277781,0.9150968079539508,oracle_policy,CEILING,observable,fully_shared,solvability,313,118
0.670845584657485,0.7639734222445361,0.8209499270010503,0.44785306335900904,0.13209351026710034,0.8209902593208224,mlp,M17,observable,shared_architecture_task_observation,bandit,1800,78
0.8588863217775958,0.21638063855523967,0.9313376485638516,0.6474011069672003,0.22148965240449384,0.7434545955629048,mlp,M17,observable,shared_architecture_task_observation,foraging,364,118
0.5269576252431781,3.207613041722382,0.7545973421998377,0.5914346166998752,0.19724353934225833,0.7709968602825745,mlp,M17,observable,shared_architecture_task_observation,solvability,313,118
0.7966332176973985,0.4720180237743578,0.8981140539531481,0.4420050356529874,0.12722642191326497,0.8403079811559628,gru,M18,observable,shared_architecture_task_observation,bandit,1800,78
0.8112077088706233,0.2894899844116987,0.9245077918244019,0.6508622426516087,0.2203008255038049,0.754512884111892,gru,M18,observable,shared_architecture_task_observation,foraging,364,118
0.6033199728581423,2.6898140554640904,0.8393330182931588,0.5574357797131948,0.1876358463897264,0.8026774812489098,gru,M18,observable,shared_architecture_task_observation,solvability,313,118
-0.002015861354095705,2.3256971532507293,1.7101033262022243e-16,0.6157860788809038,0.16529656330525647,0.5,intercept,M0,oracle,task_specific,bandit,1800,78
-0.0033796603946789627,1.5385605021744098,0.0,0.7223927703387848,0.2615047896388181,0.5,intercept,M0,oracle,task_specific,foraging,364,118
-0.0001145357452034812,6.781592092508784,0.0,0.7768774237007995,0.29127618235619696,0.5,intercept,M0,oracle,task_specific,solvability,313,118
0.5051679021328982,1.148514355642441,0.711291945118427,0.5189482246478496,0.1540697023961778,0.8198921721456193,time,M1,oracle,task_specific,bandit,1800,78
