model,code,information_set,sharing,parameter_count,task_count,states,episodes,r_squared,pooled_task_balanced_r_squared,mse,pooled_task_balanced_mse,pearson_r,pooled_task_balanced_pearson_r,log_loss,pooled_task_balanced_log_loss,brier,pooled_task_balanced_brier,auc,pooled_task_balanced_auc
previous_outcome,M2,observable,shared_architecture_task_observation,9,3,2477,314,0.4627093353588158,0.6475349019742771,1.837420456012784,1.8374204560127838,0.6629116654404476,0.804714053516453,0.6216666190963549,0.6216666190963548,0.20078055320409258,0.20078055320409255,0.7568441051201406,0.8548138844485043
streak,M3,observable,shared_architecture_task_observation,12,3,2477,314,0.4608590865099127,0.5995822200679216,2.0874004941752617,2.0874004941752617,0.6785114442392248,0.7744561609622891,0.6230306298137958,0.6230306298137956,0.2028848614661317,0.20288486146613166,0.7582627440323674,0.8544180558727259
choice_inertia,M4,observable,shared_architecture_task_observation,15,3,2477,314,0.6971526549369783,0.7862891739670796,1.1140866021168987,1.1140866021168987,0.8348293656540413,0.886749898996793,0.5566556598179027,0.5566556598179027,0.18414713920071024,0.18414713920071024,0.7945545685761356,0.8968995965593363
finite_history,M5,observable,shared_architecture_task_observation,24,3,2477,314,0.7019513882646568,0.7866351724839165,1.112282892313724,1.112282892313724,0.8375688998088341,0.8870039796067577,0.5576265197784384,0.5576265197784384,0.18434360664877925,0.18434360664877925,0.7949652426907399,0.8976722234909036
rescorla_wagner,M6,observable,shared_architecture_task_observation,4,1,1800,78,0.28188141439232306,0.28188141439232306,1.6667663803118375,1.6667663803118375,0.5330824989454779,0.5330824989454779,0.5525502531596495,0.5525502531596495,0.15775306050008767,0.15775306050008767,0.7951959762640921,0.7951959762640921
bayesian,M7,observable,shared_architecture_task_observation,4,1,1800,78,0.2868548310455733,0.2868548310455733,1.65522298923541,1.65522298923541,0.5373880415745621,0.5373880415745621,0.555833951806922,0.555833951806922,0.15778211859562347,0.15778211859562347,0.7901835312761065,0.7901835312761065
value_history_hybrid,M8,observable,shared_architecture_task_observation,9,1,1800,78,0.5534829355206118,0.5534829355206118,1.0363742788804116,1.0363742788804116,0.7453475629456049,0.7453475629456049,0.49319481877309873,0.49319481877309873,0.1462488027677183,0.1462488027677183,0.8237677739404535,0.8237677739404535
termination_advantage,M9,observable,shared_architecture_task_observation,6,3,2477,314,0.052609732280528156,0.35026505486262327,3.3871049527140236,3.3871049527140236,0.23308507536444192,0.5919235178886317,0.7059307434399648,0.7059307434399648,0.24030835868259462,0.24030835868259462,0.5691687805995208,0.8176463423917181
sticky_termination,M10,observable,shared_architecture_task_observation,9,3,2477,314,0.3597482463346033,0.4950370609529968,2.632400311209217,2.632400311209217,0.5705348541059766,0.7036940931682505,0.6418601554821586,0.6418601554821587,0.2122171281918291,0.2122171281918291,0.6602141435380756,0.8383451320697267
decomposed_meta_control,M11,observable,shared_architecture_task_observation,21,3,2477,314,0.5642360775909998,0.7518555054996333,1.293591259945547,1.2935912599455468,0.736374096592995,0.8671560598074254,0.5673462088620456,0.5673462088620456,0.1808729732479908,0.18087297324799076,0.7675419666997901,0.8750627997259648
mvt_like_foraging_threshold,M12,observable,shared_architecture_task_observation,4,1,364,118,0.7166992975421412,0.7166992975421412,0.43440712249287056,0.43440712249287056,0.8499489950747828,0.8499489950747828,0.6433040707133691,0.6433040707133691,0.2231793535620614,0.2231793535620614,0.7496038307840706,0.7496038307840706
disengagement_accumulator,M13,observable,shared_architecture_task_observation,6,3,2477,314,0.052609732280528156,0.35026505486262327,3.3871049527140236,3.3871049527140236,0.23308507536444192,0.5919235178886317,0.7059307434399648,0.7059307434399648,0.24030835868259462,0.24030835868259462,0.5691687805995208,0.8176463423917181
latent_commitment,M14,observable,shared_architecture_task_observation,12,3,2477,314,0.14426160207968663,0.43003336237436895,2.971268261976199,2.9712682619761988,0.3790749638145383,0.6561683681089455,0.6670234838022026,0.6670234838022024,0.22092885232493922,0.22092885232493925,0.6256775966702977,0.8180216183299079
generic_latent_value,M15,observable,shared_architecture_task_observation,6,3,2477,314,0.052609732280528156,0.35026505486262327,3.3871049527140236,3.3871049527140236,0.23308507536444192,0.5919235178886317,0.7059307434399648,0.7059307434399648,0.24030835868259462,0.24030835868259462,0.5691687805995208,0.8176463423917181
flexible_linear,M16,observable,shared_architecture_task_observation,75,3,2477,314,0.84001552876063,0.897815909954271,0.5326914306714491,0.5326914306714491,0.9169641091833706,0.9475478866057213,0.5199487609748105,0.5199487609748104,0.17082692555635726,0.17082692555635723,0.8209857068475057,0.9118444089213671
oracle_policy,CEILING,observable,shared_architecture_task_observation,0,3,2477,314,1.0,1.0,0.0,0.0,1.0,1.0,0.47044222486619364,0.47044222486619364,0.15244519443948057,0.15244519443948057,0.8569214995725069,0.9278077186572277
intercept,M0,observable,fully_shared,1,3,2477,314,-0.6155141685688805,-2.1087652996687467e-05,5.213166390629893,5.213166390629893,6.488540338972188e-17,0.0,0.8395485671732382,0.8395485671732384,0.3019264210242273,0.3019264210242274,0.5,0.5
time,M1,observable,fully_shared,3,3,2477,314,-0.32946600679598853,0.16789984815347103,4.337785071537992,4.337785071537993,0.11673682869510905,0.4102598242797608,0.7714105615300376,0.7714105615300376,0.27872925907140356,0.27872925907140356,0.5909741054578191,0.7747956154373145
previous_outcome,M2,observable,fully_shared,3,3,2477,314,-0.5335624064859573,0.15012327080563526,4.4304553729090035,4.430455372909004,0.11497604754870723,0.3875878042093801,0.764979094277666,0.7649790942776659,0.2728550252992354,0.2728550252992354,0.6041018679665033,0.7912164116617189
streak,M3,observable,fully_shared,4,3,2477,314,-0.47153478377728714,0.17324948118589167,4.309897132502354,4.309897132502355,0.13420755086314426,0.41647267157598095,0.7600413822473406,0.7600413822473404,0.2708622580937065,0.27086225809370645,0.5986184643257338,0.7801773616503007
choice_inertia,M4,observable,fully_shared,5,3,2477,314,-0.2925369597492055,0.1917133143865396,4.213644127568509,4.213644127568509,0.30884454661068517,0.437910567331249,0.748197058922304,0.748197058922304,0.27100473586382506,0.27100473586382506,0.6484172874962811,0.8090652355941235
finite_history,M5,observable,fully_shared,6,3,2477,314,-0.2894152907566636,0.1924908120176715,4.209590988520287,4.209590988520287,0.31429429836050843,0.4387761051036141,0.7489598268414026,0.7489598268414027,0.27139241822500443,0.27139241822500443,0.6471038520000734,0.8071279591992083
rescorla_wagner,M6,observable,fully_shared,4,1,1800,78,0.28188141439232306,0.28188141439232306,1.6667663803118375,1.6667663803118375,0.5330824989454779,0.5330824989454779,0.5525502531596495,0.5525502531596495,0.15775306050008767,0.15775306050008767,0.7951959762640921,0.7951959762640921
bayesian,M7,observable,fully_shared,4,1,1800,78,0.2868548310455733,0.2868548310455733,1.65522298923541,1.65522298923541,0.5373880415745621,0.5373880415745621,0.555833951806922,0.555833951806922,0.15778211859562347,0.15778211859562347,0.7901835312761065,0.7901835312761065
value_history_hybrid,M8,observable,fully_shared,9,1,1800,78,0.5534829355206118,0.5534829355206118,1.0363742788804116,1.0363742788804116,0.7453475629456049,0.7453475629456049,0.49319481877309873,0.49319481877309873,0.1462488027677183,0.1462488027677183,0.8237677739404535,0.8237677739404535
termination_advantage,M9,observable,fully_shared,2,3,2477,314,-0.4369868620704498,0.16263336415791896,4.365239549949881,4.365239549949881,0.23308507536444192,0.40349542975209973,0.7596070746744642,0.7596070746744642,0.2609869975934684,0.2609869975934684,0.5691687805995208,0.7158704422623126
sticky_termination,M10,observable,fully_shared,3,3,2477,314,-0.24725627841804906,0.2566107076132482,3.8753303526030307,3.87533035260303,0.2647602718542763,0.5065819347959293,0.7195443154124264,0.7195443154124264,0.24949322020140038,0.24949322020140038,0.6047771861612972,0.8179744233843343
decomposed_meta_control,M11,observable,fully_shared,7,3,2477,314,-0.3304136261804685,0.1956458652319053,4.1931435179817464,4.1931435179817464,0.27825487427293477,0.44273117836597,0.7768467347771527,0.7768467347771527,0.26666171755858364,0.26666171755858364,0.5974069047487184,0.7372261551343533
mvt_like_foraging_threshold,M12,observable,fully_shared,4,1,364,118,0.7166992975421412,0.7166992975421412,0.43440712249287056,0.43440712249287056,0.8499489950747828,0.8499489950747828,0.6433040707133691,0.6433040707133691,0.2231793535620614,0.2231793535620614,0.7496038307840706,0.7496038307840706
disengagement_accumulator,M13,observable,fully_shared,2,3,2477,314,-0.4369868620704498,0.16263336415791896,4.365239549949881,4.365239549949881,0.23308507536444192,0.40349542975209973,0.7596070746744642,0.7596070746744642,0.2609869975934684,0.2609869975934684,0.5691687805995208,0.7158704422623126
latent_commitment,M14,observable,fully_shared,4,3,2477,314,-0.40288207373173446,0.18003849263417016,4.2745056325182595,4.274505632518259,0.24219734497850096,0.4248192512274807,0.7610997793389606,0.7610997793389604,0.26068086884225405,0.26068086884225405,0.5942525225625478,0.7399748801096141
generic_latent_value,M15,observable,fully_shared,2,3,2477,314,-0.4369868620704498,0.16263336415791896,4.365239549949881,4.365239549949881,0.23308507536444192,0.40349542975209973,0.7596070746744642,0.7596070746744642,0.2609869975934684,0.2609869975934684,0.5691687805995208,0.7158704422623126
flexible_linear,M16,observable,fully_shared,25,3,2477,314,0.5250880065271738,0.6381254671001924,1.886472371263416,1.886472371263416,0.7480046603033621,0.7993424692071477,0.5869182967217789,0.5869182967217788,0.19617256011923478,0.1961725601192348,0.7630818148062262,0.8824343457410367
oracle_policy,CEILING,observable,fully_shared,0,3,2477,314,1.0,1.0,0.0,0.0,1.0,1.0,0.47044222486619364,0.47044222486619364,0.15244519443948057,0.15244519443948057,0.8569214995725069,0.9278077186572277
mlp,M17,observable,shared_architecture_task_observation,3713,3,2477,314,0.6855631772260863,0.7322129455112759,1.3959890341740524,1.3959890341740524,0.8356283059215799,0.8567487949517374,0.5622295956753615,0.5622295956753615,0.1836089006712842,0.1836089006712842,0.7784805717221005,0.8818870366141432
gru,M18,observable,shared_architecture_task_observation,26625,3,2477,314,0.7370536331420547,0.7793155134957443,1.1504406878833822,1.1504406878833824,0.8873182880235696,0.8833977695144523,0.5501010193392636,0.5501010193392637,0.17838769793559875,0.17838769793559875,0.7991661155055882,0.8993438380147675
intercept,M0,oracle,task_specific,3,3,2477,314,-0.0018366858313260497,0.3192829177641163,3.548616582644641,3.5486165826446405,5.700344420674081e-17,0.5655140207756977,0.7050187576401626,0.7050187576401626,0.23935917843342383,0.23935917843342383,0.5,0.7917675268326102
time,M1,oracle,task_specific,9,3,2477,314,0.4252837392025672,0.5272383128244491,2.4645333671366205,2.46453336713662,0.6356176589957442,0.7265355505737506,0.6215774631287242,0.6215774631287242,0.20816945127934539,0.2081694512793454,0.7492421776356032,0.877010733044074
previous_outcome,M2,oracle,task_specific,9,3,2477,314,0.4627093353588158,0.6475349019742771,1.837420456012784,1.8374204560127838,0.6629116654404476,0.804714053516453,0.6216666190963549,0.6216666190963548,0.20078055320409258,0.20078055320409255,0.7568441051201406,0.8548138844485043
streak,M3,oracle,task_specific,12,3,2477,314,0.4608590865099127,0.5995822200679216,2.0874004941752617,2.0874004941752617,0.6785114442392248,0.7744561609622891,0.6230306298137958,0.6230306298137956,0.2028848614661317,0.20288486146613166,0.7582627440323674,0.8544180558727259
choice_inertia,M4,oracle,task_specific,15,3,2477,314,0.6971526549369783,0.7862891739670796,1.1140866021168987,1.1140866021168987,0.8348293656540413,0.886749898996793,0.5566556598179027,0.5566556598179027,0.18414713920071024,0.18414713920071024,0.7945545685761356,0.8968995965593363
finite_history,M5,oracle,task_specific,24,3,2477,314,0.7038999661727466,0.7875230488720072,1.107654342573546,1.107654342573546,0.8386422291720274,0.8874994661496346,0.5571813865962588,0.5571813865962589,0.18437739815888,0.18437739815888002,0.7967135607228979,0.8978427342620081
rescorla_wagner,M6,oracle,task_specific,4,1,1800,78,0.28188141439232306,0.28188141439232306,1.6667663803118375,1.6667663803118375,0.5330824989454779,0.5330824989454779,0.5525502531596495,0.5525502531596495,0.15775306050008767,0.15775306050008767,0.7951959762640921,0.7951959762640921
bayesian,M7,oracle,task_specific,4,1,1800,78,0.2868548310455733,0.2868548310455733,1.65522298923541,1.65522298923541,0.5373880415745621,0.5373880415745621,0.555833951806922,0.555833951806922,0.15778211859562347,0.15778211859562347,0.7901835312761065,0.7901835312761065
value_history_hybrid,M8,oracle,task_specific,9,1,1800,78,0.5534829355206118,0.5534829355206118,1.0363742788804116,1.0363742788804116,0.7453475629456049,0.7453475629456049,0.49319481877309873,0.49319481877309873,0.1462488027677183,0.1462488027677183,0.8237677739404535,0.8237677739404535
termination_advantage,M9,oracle,task_specific,6,3,2477,314,0.08023252160578509,0.3551227991278171,3.361781257593736,3.361781257593736,0.2755565805556623,0.5960316797107478,0.7049507627498107,0.7049507627498109,0.23800265339213503,0.23800265339213506,0.5855013503588515,0.8228735632183908
sticky_termination,M10,oracle,task_specific,9,3,2477,314,0.34145388568962415,0.4828656266453617,2.695850685448066,2.695850685448066,0.5538226160322468,0.6957839110577095,0.645624787087142,0.645624787087142,0.21310885397167892,0.21310885397167892,0.7048459075684678,0.8641090051000989
decomposed_meta_control,M11,oracle,task_specific,21,3,2477,314,0.5546019454753256,0.731293938970538,1.4007798671575724,1.4007798671575726,0.7323294518238619,0.8552575998189815,0.5759533504913171,0.5759533504913171,0.18311769297358713,0.1831176929735871,0.767372820318894,0.8685194488848291
mvt_like_foraging_threshold,M12,oracle,task_specific,4,1,364,118,0.7166992975421412,0.7166992975421412,0.43440712249287056,0.43440712249287056,0.8499489950747828,0.8499489950747828,0.6433040707133691,0.6433040707133691,0.2231793535620614,0.2231793535620614,0.7496038307840706,0.7496038307840706
disengagement_accumulator,M13,oracle,task_specific,6,3,2477,314,0.1263823619345119,0.3756701737585174,3.2546666335493106,3.25466663354931,0.3416570326169392,0.6130555559529703,0.6972847044179069,0.6972847044179071,0.23738600532549325,0.23738600532549328,0.6265884710163833,0.844662403897389
latent_commitment,M14,oracle,task_specific,12,3,2477,314,0.19759020707737082,0.44783845666527156,2.878449300170928,2.878449300170927,0.4449620602933934,0.66937654577342,0.6613386132125866,0.6613386132125866,0.21782310736782284,0.21782310736782287,0.6672933444319434,0.8420156809012712
generic_latent_value,M15,oracle,task_specific,6,3,2477,314,0.1263823619345119,0.3756701737585174,3.2546666335493106,3.25466663354931,0.3416570326169392,0.6130555559529703,0.6972847044179069,0.6972847044179071,0.23738600532549325,0.23738600532549328,0.6265884710163833,0.844662403897389
flexible_linear,M16,oracle,task_specific,75,3,2477,314,0.8163794586380297,0.8896471601931257,0.5752755843798606,0.5752755843798606,0.9041562939810958,0.9432460971273088,0.5180002162315195,0.5180002162315194,0.1706853309506835,0.17068533095068353,0.8244161070016189,0.9132305701453909
oracle_policy,CEILING,oracle,task_specific,0,3,2477,314,1.0,1.0,0.0,0.0,1.0,1.0,0.47044222486619364,0.47044222486619364,0.15244519443948057,0.15244519443948057,0.8569214995725069,0.9278077186572277
intercept,M0,oracle,shared_architecture_task_observation,3,3,2477,314,-0.0018366858313260497,0.3192829177641163,3.548616582644641,3.5486165826446405,5.700344420674081e-17,0.5655140207756977,0.7050187576401626,0.7050187576401626,0.23935917843342383,0.23935917843342383,0.5,0.7917675268326102
time,M1,oracle,shared_architecture_task_observation,9,3,2477,314,0.4252837392025672,0.5272383128244491,2.4645333671366205,2.46453336713662,0.6356176589957442,0.7265355505737506,0.6215774631287242,0.6215774631287242,0.20816945127934539,0.2081694512793454,0.7492421776356032,0.877010733044074
previous_outcome,M2,oracle,shared_architecture_task_observation,9,3,2477,314,0.4627093353588158,0.6475349019742771,1.837420456012784,1.8374204560127838,0.6629116654404476,0.804714053516453,0.6216666190963549,0.6216666190963548,0.20078055320409258,0.20078055320409255,0.7568441051201406,0.8548138844485043
streak,M3,oracle,shared_architecture_task_observation,12,3,2477,314,0.4608590865099127,0.5995822200679216,2.0874004941752617,2.0874004941752617,0.6785114442392248,0.7744561609622891,0.6230306298137958,0.6230306298137956,0.2028848614661317,0.20288486146613166,0.7582627440323674,0.8544180558727259
choice_inertia,M4,oracle,shared_architecture_task_observation,15,3,2477,314,0.6971526549369783,0.7862891739670796,1.1140866021168987,1.1140866021168987,0.8348293656540413,0.886749898996793,0.5566556598179027,0.5566556598179027,0.18414713920071024,0.18414713920071024,0.7945545685761356,0.8968995965593363
finite_history,M5,oracle,shared_architecture_task_observation,24,3,2477,314,0.7019513882646568,0.7866351724839165,1.112282892313724,1.112282892313724,0.8375688998088341,0.8870039796067577,0.5576265197784384,0.5576265197784384,0.18434360664877925,0.18434360664877925,0.7949652426907399,0.8976722234909036
rescorla_wagner,M6,oracle,shared_architecture_task_observation,4,1,1800,78,0.28188141439232306,0.28188141439232306,1.6667663803118375,1.6667663803118375,0.5330824989454779,0.5330824989454779,0.5525502531596495,0.5525502531596495,0.15775306050008767,0.15775306050008767,0.7951959762640921,0.7951959762640921
bayesian,M7,oracle,shared_architecture_task_observation,4,1,1800,78,0.2868548310455733,0.2868548310455733,1.65522298923541,1.65522298923541,0.5373880415745621,0.5373880415745621,0.555833951806922,0.555833951806922,0.15778211859562347,0.15778211859562347,0.7901835312761065,0.7901835312761065
value_history_hybrid,M8,oracle,shared_architecture_task_observation,9,1,1800,78,0.5534829355206118,0.5534829355206118,1.0363742788804116,1.0363742788804116,0.7453475629456049,0.7453475629456049,0.49319481877309873,0.49319481877309873,0.1462488027677183,0.1462488027677183,0.8237677739404535,0.8237677739404535
termination_advantage,M9,oracle,shared_architecture_task_observation,6,3,2477,314,0.08023252160578509,0.3551227991278171,3.361781257593736,3.361781257593736,0.2755565805556623,0.5960316797107478,0.7049507627498107,0.7049507627498109,0.23800265339213503,0.23800265339213506,0.5855013503588515,0.8228735632183908
sticky_termination,M10,oracle,shared_architecture_task_observation,9,3,2477,314,0.33204506685434304,0.4812399202963964,2.7043255844317966,2.704325584431796,0.5417597915916132,0.6941785038300456,0.6501777727937268,0.6501777727937268,0.2135831209829452,0.21358312098294518,0.6359014513966417,0.8275717439293598
decomposed_meta_control,M11,oracle,shared_architecture_task_observation,21,3,2477,314,0.5546019454753256,0.731293938970538,1.4007798671575724,1.4007798671575726,0.7323294518238619,0.8552575998189815,0.5759533504913171,0.5759533504913171,0.18311769297358713,0.1831176929735871,0.767372820318894,0.8685194488848291
mvt_like_foraging_threshold,M12,oracle,shared_architecture_task_observation,4,1,364,118,0.7166992975421412,0.7166992975421412,0.43440712249287056,0.43440712249287056,0.8499489950747828,0.8499489950747828,0.6433040707133691,0.6433040707133691,0.2231793535620614,0.2231793535620614,0.7496038307840706,0.7496038307840706
disengagement_accumulator,M13,oracle,shared_architecture_task_observation,6,3,2477,314,0.08023252160578509,0.3551227991278171,3.361781257593736,3.361781257593736,0.2755565805556623,0.5960316797107478,0.7049507627498107,0.7049507627498109,0.23800265339213503,0.23800265339213506,0.5855013503588515,0.8228735632183908
latent_commitment,M14,oracle,shared_architecture_task_observation,12,3,2477,314,0.17738380431852907,0.4388419244028121,2.92534873079488,2.9253487307948793,0.42307963951188055,0.6628778104781078,0.6610801979844415,0.6610801979844415,0.2175850668047191,0.21758506680471906,0.6461239461837155,0.8235700692700008
generic_latent_value,M15,oracle,shared_architecture_task_observation,6,3,2477,314,0.08023252160578509,0.3551227991278171,3.361781257593736,3.361781257593736,0.2755565805556623,0.5960316797107478,0.7049507627498107,0.7049507627498109,0.23800265339213503,0.23800265339213506,0.5855013503588515,0.8228735632183908
