model,reference,information_set,sharing,delta_mse_reference_minus_model,delta_r_squared_model_minus_reference,delta_log_loss_reference_minus_model
choice_inertia,time,observable,task_specific,1.3504467650197218,0.27186891573441113,0.06492180331082154
finite_history,time,observable,task_specific,1.3568790245630746,0.27861622697017946,0.06439607653246537
finite_history,choice_inertia,observable,task_specific,0.006432259543352803,0.006747311235768327,-0.0005257267783561614
rescorla_wagner,time,observable,task_specific,0.797766986824783,-0.14340232481024412,0.06902720996907474
rescorla_wagner,choice_inertia,observable,task_specific,-0.5526797781949389,-0.41527124054465525,0.004105406658253208
bayesian,time,observable,task_specific,0.8093103779012105,-0.13842890815699388,0.06574351132180223
bayesian,choice_inertia,observable,task_specific,-0.5411363871185113,-0.410297823891405,0.0008217080109806929
value_history_hybrid,time,observable,task_specific,1.428159088256209,0.1281991963180446,0.12838264435562546
value_history_hybrid,choice_inertia,observable,task_specific,0.07771232323648714,-0.14366971941636653,0.06346084104480393
termination_advantage,time,observable,task_specific,-0.922571585577403,-0.372674006922039,-0.08435328031124056
termination_advantage,choice_inertia,observable,task_specific,-2.273018350597125,-0.6445429226564502,-0.1492750836220621
sticky_termination,time,observable,task_specific,-0.1755807472820914,-0.06005526435427988,-0.019900916478378217
sticky_termination,choice_inertia,observable,task_specific,-1.5260275123018132,-0.331924180088691,-0.08482271978919975
decomposed_meta_control,time,observable,task_specific,1.1709421071910735,0.13895233838843263,0.05423125426667863
decomposed_meta_control,choice_inertia,observable,task_specific,-0.17950465782864833,-0.1329165773459785,-0.010690549044142905
mvt_like_foraging_threshold,time,observable,task_specific,2.03012624464375,0.29141555833957405,-0.021726607584644952
mvt_like_foraging_threshold,choice_inertia,observable,task_specific,0.6796794796240282,0.019546642605162923,-0.08664841089546649
disengagement_accumulator,time,observable,task_specific,-0.8455778550464839,-0.3395016142444416,-0.08112027780696729
disengagement_accumulator,choice_inertia,observable,task_specific,-2.196024620066206,-0.6113705299788527,-0.14604208111778882
latent_commitment,time,observable,task_specific,-0.4252204688678942,-0.2371814516083955,-0.04546778613922686
latent_commitment,choice_inertia,observable,task_specific,-1.775667233887616,-0.5090503673428066,-0.1103895894500484
generic_latent_value,time,observable,task_specific,-0.8455778550464839,-0.3395016142444416,-0.08112027780696729
generic_latent_value,choice_inertia,observable,task_specific,-2.196024620066206,-0.6113705299788527,-0.14604208111778882
flexible_linear,time,observable,task_specific,1.9318419364651715,0.41473178955806284,0.10162870215391373
flexible_linear,choice_inertia,observable,task_specific,0.5813951714454496,0.1428628738236517,0.036706898843092195
oracle_policy,time,observable,task_specific,2.4645333671366205,0.5747162607974328,0.15113523826253056
oracle_policy,choice_inertia,observable,task_specific,1.1140866021168987,0.3028473450630217,0.08621343495170902
intercept,time,oracle,fully_shared,-0.8753813190919013,-0.286048161772892,-0.0681380056432006
intercept,choice_inertia,oracle,fully_shared,-0.999522263061384,-0.322977208819675,-0.09135150825093419
time,choice_inertia,oracle,fully_shared,-0.12414094396948272,-0.036929047046783015,-0.023213502607733583
previous_outcome,time,oracle,fully_shared,-0.09267030137101173,-0.2040963996899688,0.006431467252371648
previous_outcome,choice_inertia,oracle,fully_shared,-0.21681124534049445,-0.2410254467367518,-0.016782035355361935
streak,time,oracle,fully_shared,0.027887939035637466,-0.1420687769812986,0.011369179282696984
streak,choice_inertia,oracle,fully_shared,-0.09625300493384525,-0.17899782402808162,-0.011844323325036599
choice_inertia,time,oracle,fully_shared,0.12414094396948272,0.036929047046783015,0.023213502607733583
finite_history,time,oracle,fully_shared,0.1281940830177044,0.04005071603932492,0.02245073468863501
finite_history,choice_inertia,oracle,fully_shared,0.004053139048221688,0.003121668992541904,-0.0007627679190985726
rescorla_wagner,time,oracle,fully_shared,2.671018691226154,0.6113474211883116,0.21886030837038817
rescorla_wagner,choice_inertia,oracle,fully_shared,2.5468777472566715,0.5744183741415285,0.19564680576265459
bayesian,time,oracle,fully_shared,2.6825620823025815,0.6163208378415619,0.21557660972311565
bayesian,choice_inertia,oracle,fully_shared,2.558421138333099,0.5793917907947788,0.19236310711538207
value_history_hybrid,time,oracle,fully_shared,3.30141079265758,0.8829489423166004,0.2782157427569389
value_history_hybrid,choice_inertia,oracle,fully_shared,3.1772698486880975,0.8460198952698172,0.2550022401492053
termination_advantage,time,oracle,fully_shared,-0.059072339148532826,-0.07313839922787402,0.006952688130153151
termination_advantage,choice_inertia,oracle,fully_shared,-0.18321328311801555,-0.11006744627465703,-0.016260814477580432
sticky_termination,time,oracle,fully_shared,0.4915345576528085,0.13108319758939938,0.05229394816901234
sticky_termination,choice_inertia,oracle,fully_shared,0.3673936136833258,0.09415415054261636,0.029080445561278756
decomposed_meta_control,time,oracle,fully_shared,0.1816986808397525,0.019333836416410066,-0.005197824850504573
decomposed_meta_control,choice_inertia,oracle,fully_shared,0.05755773687026977,-0.01759521063037295,-0.028411327458238156
mvt_like_foraging_threshold,time,oracle,fully_shared,3.903377949045121,1.0461653043381298,0.12810649081666847
mvt_like_foraging_threshold,choice_inertia,oracle,fully_shared,3.7792370050756383,1.0092362572913467,0.10489298820893489
disengagement_accumulator,time,oracle,fully_shared,-0.059072339148532826,-0.07313839922787402,0.006952688130153151
disengagement_accumulator,choice_inertia,oracle,fully_shared,-0.18321328311801555,-0.11006744627465703,-0.016260814477580432
latent_commitment,time,oracle,fully_shared,0.09469420356021097,-0.03453159170696107,0.010824088780133634
latent_commitment,choice_inertia,oracle,fully_shared,-0.029446740409271754,-0.07146063875374409,-0.012389413827599949
generic_latent_value,time,oracle,fully_shared,-0.059072339148532826,-0.07313839922787402,0.006952688130153151
