stage,target,random_subspace,random_r_squared,random_mse,random_pearson_r,persistence_rank4_r_squared,random_meets_or_exceeds_persistence,random_r_squared_mean,random_r_squared_95th,persistence_percentile_among_random,empirical_p_value
l21,termination_advantage,4,-0.648773723955949,1.293555966832306,0.2806431474432962,-0.13057366916992627,False,-0.37197551860458683,-0.041789477592792605,0.81,0.19801980198019803
l21,history_finite_prediction,5,-0.5743950156798897,3.012083218148087,0.38622199541789604,0.26640694883284266,False,-0.07859338581695621,0.44770878722747176,0.79,0.21782178217821782
l21,history_summary,5,0.2529960015726348,0.2837989308612778,0.6336029808873529,0.2120931504072684,True,0.41499064931620483,0.6061581246477328,0.1,0.900990099009901
l21,history_recent_outcomes,5,0.18826768790678594,3.4427066740900067,0.5136711450282142,0.011912039646849023,True,-0.04311780601354851,0.15533662796266962,0.61,0.39603960396039606
l21,history_recent_choices,5,0.22862193316175938,0.3684740820769239,0.606393686676981,0.4234693514441359,False,0.5703162883809162,0.8747847827073638,0.23,0.7722772277227723
l21,time_effort,5,-0.0813277496029708,0.34484660103736015,0.6192113054170129,0.11366734714890044,False,0.3537426177154401,0.7112576723701379,0.19,0.8118811881188119
l21,cost_pressure,5,-0.0293371361223496,0.1995856283129169,0.08591292370799752,0.026309759574074627,False,-0.013099575178512514,0.04531092852285616,0.87,0.13861386138613863
l21,progress_solvability,5,0.18243737522521844,0.19529510415537918,0.5003598333779422,0.052022799370691396,True,0.19324335809244794,0.3522906701086371,0.08,0.9207920792079208
l21,estimated_continue_value,5,-0.5271136913294385,0.5732516201431137,0.22479894843166504,-0.47305469386488525,False,-0.6214256318828069,-0.21066241594305737,0.7,0.3069306930693069
l21,estimated_outside_value,5,-0.021737779057093547,0.7733787973863507,0.13902785842861012,0.004548456915627923,False,-0.03572498711704658,0.04464938365785712,0.77,0.2376237623762376
l21,termination_advantage,5,-0.6561845472206412,1.3975411625855063,0.26332575147627235,-0.13057366916992627,False,-0.37197551860458683,-0.041789477592792605,0.81,0.19801980198019803
l21,history_finite_prediction,6,0.23506004900215124,1.6230098727852755,0.5859334315345105,0.26640694883284266,False,-0.07859338581695621,0.44770878722747176,0.79,0.21782178217821782
l21,history_summary,6,0.3487368985388701,0.27366240041892326,0.624928317503434,0.2120931504072684,True,0.41499064931620483,0.6061581246477328,0.1,0.900990099009901
l21,history_recent_outcomes,6,-0.041861020654344085,3.763252566100649,0.3843038759554214,0.011912039646849023,False,-0.04311780601354851,0.15533662796266962,0.61,0.39603960396039606
l21,history_recent_choices,6,0.45698594899955286,0.2569820599406877,0.7580495015455816,0.4234693514441359,True,0.5703162883809162,0.8747847827073638,0.23,0.7722772277227723
