heldout_task,model,sharing,information_set,selected_hyperparameters,macro_log_loss,macro_brier,macro_auc,state_weighted_log_loss,episode_weighted_log_loss,tasks,states,null_log_loss,delta_log_loss_vs_null
information_sampling,gru,fully_shared,observable,"{""dropout"": 0.0, ""epochs"": 100, ""hidden_size"": 64, ""learning_rate"": 0.001}",0.711491959374767,0.256442144678195,0.6161616161616161,0.7114919593747671,0.8827823371304347,1,40,0.839507383801083,0.12801542442631608
information_sampling,gru,hierarchical,observable,"{""dropout"": 0.0, ""epochs"": 100, ""hidden_size"": 64, ""learning_rate"": 0.001}",0.800706433314646,0.293882151812411,0.5454545454545454,0.8007064333146463,1.055968746342594,1,40,0.839507383801083,0.03880095048643706
partial_reinforcement,intercept,fully_shared,observable,"{""penalty"": 0.01}",0.957637851377315,0.366514569108783,0.5,0.9576378513773148,1.0329169969793768,1,20,0.957637851377315,0.0
partial_reinforcement,intercept,hierarchical,observable,"{""penalty"": 0.01}",0.940938092607429,0.360273867645011,0.5,0.9409380926074293,1.0130477846802222,1,20,0.957637851377315,0.016699758769886053
partial_reinforcement,time_only,fully_shared,observable,"{""penalty"": 0.01}",0.951248285815035,0.364144056511139,0.16666666666666666,0.9512482858150347,1.0243589435705767,1,20,0.957637851377315,0.006389565562280097
partial_reinforcement,time_only,hierarchical,observable,"{""penalty"": 0.01}",0.948331837751345,0.363055107487269,0.16666666666666666,0.9483318377513446,1.0210969327549138,1,20,0.957637851377315,0.009306013625970055
partial_reinforcement,immediate_state,fully_shared,observable,"{""penalty"": 0.01}",0.940232547886022,0.357657563040316,0.5,0.9402325478860215,1.0167118999399756,1,20,0.957637851377315,0.0174053034912931
partial_reinforcement,immediate_state,hierarchical,observable,"{""penalty"": 0.01}",0.957806575337676,0.36431943118082,0.5833333333333334,0.9578065753376759,1.0371077386818708,1,20,0.957637851377315,-0.00016872396036093917
partial_reinforcement,finite_history,fully_shared,observable,"{""history_lag"": 1, ""penalty"": 0.01}",1.104973144829419,0.40303847379957,0.625,1.1049731448294193,1.290855056010223,1,20,0.957637851377315,-0.14733529345210405
partial_reinforcement,finite_history,hierarchical,observable,"{""history_lag"": 2, ""penalty"": 0.01}",0.525964753406078,0.170460949937417,0.9166666666666667,0.5259647534060778,0.5554491483241377,1,20,0.957637851377315,0.4316730979712371
partial_reinforcement,exponential_reward,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.928322683563409,0.34904125940889,0.7083333333333334,0.9283226835634089,1.0463660011787042,1,20,0.957637851377315,0.029315167813906085
