heldout_task,model,sharing,requested_pairs,adaptation_pairs,adaptation_recorded_episodes,macro_log_loss,macro_brier,macro_auc,state_weighted_log_loss,episode_weighted_log_loss,tasks,states
foraging,finite_history,hierarchical,1,1,2,0.628272650483458,0.198896338577854,0.7545645583574481,0.6282726504834585,0.6595949169595641,1,364
foraging,finite_history,hierarchical,4,4,8,0.754034323418143,0.250242123766313,0.46177828303706764,0.7540343234181426,0.8340083611393335,1,364
foraging,finite_history,hierarchical,8,8,16,0.612678065251029,0.206302050933908,0.7424383354003032,0.6126780652510292,0.7030930702443294,1,364
foraging,finite_history,hierarchical,16,16,32,0.570946251200025,0.190482192804434,0.756459280694502,0.5709462512000246,0.644084435663689,1,364
foraging,finite_history,hierarchical,32,32,64,0.561336526402306,0.18813506909842,0.7500172247485186,0.5613365264023058,0.6294711679752273,1,364
foraging,dual_history,fully_shared,0,0,0,0.893271479089808,0.270793369230183,0.5158123191401406,0.8932714790898081,1.0630907543313854,1,364
foraging,dual_history,fully_shared,1,1,2,0.623347893736173,0.205477923972148,0.6588121813421524,0.6233478937361729,0.7103793550396985,1,364
foraging,dual_history,fully_shared,4,4,8,0.723333306871673,0.238701338549626,0.5364820173625465,0.7233333068716734,0.8302896736577707,1,364
foraging,dual_history,fully_shared,8,8,16,0.600236225340006,0.204644621455827,0.6569863579991733,0.6002362253400058,0.677375615750116,1,364
foraging,dual_history,fully_shared,16,16,32,0.617117393954006,0.211018010081186,0.6502342565798537,0.6171173939540063,0.6822079731571747,1,364
foraging,dual_history,fully_shared,32,32,64,0.606085497589579,0.206993284301702,0.6627738735014468,0.6060854975895794,0.6702170709019782,1,364
foraging,dual_history,hierarchical,0,0,0,0.783553492005855,0.252940143400189,0.5240801984291029,0.7835534920058552,0.9186317553992999,1,364
foraging,dual_history,hierarchical,1,1,2,0.58003506775641,0.194634169924575,0.7124500482292958,0.5800350677564099,0.6648389286667556,1,364
foraging,dual_history,hierarchical,4,4,8,0.704382307264269,0.232599693550732,0.5625947361168527,0.7043823072642693,0.8030940369634716,1,364
foraging,dual_history,hierarchical,8,8,16,0.556210237508293,0.187457194561789,0.7532727022185477,0.5562102375082929,0.6332474803994236,1,364
foraging,dual_history,hierarchical,16,16,32,0.575957137481626,0.194457032715317,0.6956386936750724,0.5759571374816262,0.6301735110358635,1,364
foraging,dual_history,hierarchical,32,32,64,0.565787091070253,0.190068970069527,0.7439368885214276,0.5657870910702534,0.625860823440006,1,364
foraging,latent_commitment,fully_shared,0,0,0,0.777339860937711,0.260620967442712,0.6007303293371916,0.7773398609377108,0.9495811590278378,1,364
foraging,latent_commitment,fully_shared,1,1,2,0.608663770499995,0.208734114221465,0.6275320380322448,0.6086637704999945,0.6615843394653601,1,364
foraging,latent_commitment,fully_shared,4,4,8,0.638342119267078,0.22120985443976,0.6278765330026181,0.6383421192670775,0.7367043544952242,1,364
foraging,latent_commitment,fully_shared,8,8,16,0.611153454413185,0.210716198947667,0.6461003169353727,0.6111534544131849,0.683125569054097,1,364
foraging,latent_commitment,fully_shared,16,16,32,0.610780084624899,0.210307117728868,0.6416218823205182,0.6107800846248993,0.6732976046496199,1,364
foraging,latent_commitment,fully_shared,32,32,64,0.612420717938272,0.211004895185835,0.6450323825272152,0.6124207179382717,0.6726856642842026,1,364
foraging,latent_commitment,hierarchical,0,0,0,0.655783788294261,0.228914003680937,0.35841256717651926,0.6557837882942611,0.7442569292688023,1,364
foraging,latent_commitment,hierarchical,1,1,2,1.04235058308039,0.307635729282549,0.7502755959762988,1.0423505830803899,0.841239687352213,1,364
foraging,latent_commitment,hierarchical,4,4,8,0.64360863784494,0.217815231361477,0.5583229984842222,0.6436086378449403,0.7236553437238638,1,364
foraging,latent_commitment,hierarchical,8,8,16,0.641170114311011,0.213891374334556,0.7344977263331955,0.6411701143110106,0.6588833199730184,1,364
foraging,latent_commitment,hierarchical,16,16,32,0.649707610340421,0.22001328852579,0.7249552156538515,0.6497076103404212,0.6535925480136616,1,364
foraging,latent_commitment,hierarchical,32,32,64,0.568054939238328,0.190512308645895,0.7704974507372193,0.5680549392383277,0.626047778676496,1,364
foraging,flexible_linear,fully_shared,0,0,0,0.899971896759981,0.268309459929213,0.46472371503376053,0.8999718967599813,1.0355157761959735,1,364
foraging,flexible_linear,fully_shared,1,1,2,0.699112953666919,0.222322727597026,0.5891208488356069,0.699112953666919,0.7802160337187649,1,364
foraging,flexible_linear,fully_shared,4,4,8,0.779105416481028,0.248642925397538,0.49586606035551883,0.7791054164810285,0.8637957968682026,1,364
foraging,flexible_linear,fully_shared,8,8,16,0.59814698089869,0.206132707791602,0.6810321069312388,0.5981469808986905,0.6737177700030884,1,364
foraging,flexible_linear,fully_shared,16,16,32,0.601052647664232,0.206121825509547,0.6626360755132976,0.6010526476642316,0.6616599228456476,1,364
foraging,flexible_linear,fully_shared,32,32,64,0.614005296423874,0.209829378387223,0.5840223232740802,0.6140052964238736,0.6641420061440174,1,364
foraging,flexible_linear,hierarchical,0,0,0,0.790168726647161,0.25481217944825,0.4506855449910432,0.7901687266471614,0.8913736994073185,1,364
foraging,flexible_linear,hierarchical,1,1,2,0.620210556538919,0.198728531075255,0.7556841670111616,0.6202105565389185,0.6980882942452514,1,364
foraging,flexible_linear,hierarchical,4,4,8,0.768059095457193,0.243101496517019,0.4985703458729503,0.7680590954571932,0.8321529021635599,1,364
foraging,flexible_linear,hierarchical,8,8,16,0.622533127645761,0.208151653741444,0.7346527490698637,0.6225331276457606,0.7299917853118739,1,364
foraging,flexible_linear,hierarchical,16,16,32,0.601125929512089,0.197885408910238,0.7585607000137798,0.6011259295120891,0.6428296698451773,1,364
foraging,flexible_linear,hierarchical,32,32,64,0.563451778479868,0.190516783108229,0.7287274355794406,0.563451778479868,0.6333146069770633,1,364
information_sampling,finite_history,fully_shared,0,0,0,0.742677203426073,0.273325818875712,0.5101010101010102,0.7426772034260735,0.8702831074738558,1,40
information_sampling,finite_history,fully_shared,1,1,2,1.152523824071472,0.368390927571533,0.5,1.1525238240714721,0.763152067456711,1,40
information_sampling,finite_history,fully_shared,4,4,8,0.832803150572177,0.311023091322441,0.5101010101010102,0.8328031505721775,1.0625690621671848,1,40
information_sampling,finite_history,fully_shared,8,8,16,0.75352096267437,0.278187810250376,0.5,0.7535209626743702,0.671623729446967,1,40
information_sampling,finite_history,fully_shared,16,16,32,0.897175113188424,0.337960793328178,0.5101010101010102,0.8971751131884236,1.1415074070736273,1,40
information_sampling,finite_history,fully_shared,32,32,64,0.841611595781873,0.317443193821648,0.5101010101010102,0.8416115957818725,1.026077615197225,1,40
information_sampling,finite_history,hierarchical,0,0,0,0.793073542972197,0.294179958103318,0.5101010101010102,0.7930735429721968,1.0001709927583635,1,40
information_sampling,finite_history,hierarchical,1,1,2,1.286761331498593,0.39196259025416,0.5101010101010102,1.286761331498593,0.8301677856244791,1,40
information_sampling,finite_history,hierarchical,4,4,8,0.823569610711525,0.306361569373747,0.5707070707070707,0.8235696107115249,1.0712772251065668,1,40
information_sampling,finite_history,hierarchical,8,8,16,0.824659860468604,0.306312240215669,0.5606060606060606,0.8246598604686041,0.7218630689799849,1,40
information_sampling,finite_history,hierarchical,16,16,32,0.912314968882403,0.345312189726369,0.5808080808080809,0.9123149688824028,1.129233327354701,1,40
information_sampling,finite_history,hierarchical,32,32,64,0.854938502619583,0.323255207297212,0.5303030303030303,0.8549385026195828,1.0112864985908707,1,40
information_sampling,dual_history,fully_shared,0,0,0,0.731120279011285,0.26843857281494,0.46464646464646464,0.7311202790112852,0.8127563497774488,1,40
information_sampling,dual_history,fully_shared,1,1,2,1.299435309493276,0.398385305479027,0.4747474747474747,1.2994353094932758,0.8163258876373274,1,40
information_sampling,dual_history,fully_shared,4,4,8,0.820900076302284,0.30805543995128,0.48484848484848486,0.8209000763022839,1.0064717072456506,1,40
information_sampling,dual_history,fully_shared,8,8,16,0.739352587509737,0.271102829527772,0.46464646464646464,0.7393525875097373,0.6767500977297615,1,40
information_sampling,dual_history,fully_shared,16,16,32,0.890717901320462,0.335668146696214,0.4949494949494949,0.8907179013204619,1.118782199583542,1,40
information_sampling,dual_history,fully_shared,32,32,64,0.838758450436023,0.315621314789602,0.4545454545454546,0.8387584504360228,1.015753741196371,1,40
information_sampling,dual_history,hierarchical,0,0,0,0.789135217280076,0.294271643183517,0.5151515151515151,0.7891352172800756,0.9557534657720709,1,40
information_sampling,dual_history,hierarchical,1,1,2,1.585570633280676,0.422595682238938,0.4949494949494949,1.5855706332806756,0.9700478146595476,1,40
information_sampling,dual_history,hierarchical,4,4,8,0.836261188628206,0.312375948922198,0.5151515151515151,0.8362611886282062,1.048303885732812,1,40
information_sampling,dual_history,hierarchical,8,8,16,0.778262594820801,0.286170570485364,0.4141414141414141,0.7782625948208013,0.6715075806361813,1,40
information_sampling,dual_history,hierarchical,16,16,32,0.92161258942995,0.347094636196053,0.5151515151515151,0.9216125894299502,1.1715699120128962,1,40
information_sampling,dual_history,hierarchical,32,32,64,0.85537783886454,0.322700531631274,0.47474747474747475,0.8553778388645401,1.0393513181883482,1,40
information_sampling,latent_commitment,fully_shared,0,0,0,0.907793813154581,0.341275413081149,0.46464646464646464,0.9077938131545806,1.1381927844689825,1,40
information_sampling,latent_commitment,fully_shared,1,1,2,1.275108311514684,0.393742104242704,0.46464646464646464,1.275108311514684,0.7962217289454127,1,40
information_sampling,latent_commitment,fully_shared,4,4,8,0.82546323420792,0.30994420919851,0.4646464646464647,0.82546323420792,1.0131312881305,1,40
information_sampling,latent_commitment,fully_shared,8,8,16,0.737926814064671,0.268920186782193,0.4848484848484848,0.737926814064671,0.6872173921825747,1,40
information_sampling,latent_commitment,fully_shared,16,16,32,0.907837906603665,0.342004083723497,0.5252525252525252,0.9078379066036654,1.1509744980616112,1,40
information_sampling,latent_commitment,fully_shared,32,32,64,0.847538441157951,0.31898270381757,0.5050505050505051,0.8475384411579505,1.0376236295755945,1,40
information_sampling,latent_commitment,hierarchical,0,0,0,0.986152359366695,0.367170061113124,0.5151515151515151,0.9861523593666949,1.2930843969254449,1,40
