r_squared,mse,pearson_r,log_loss,brier,auc,model,code,information_set,sharing,task,states,episodes,parameter_count,task_count,model_category,task_rank,best_task_specific_model,best_task_specific_interpretable
0.17699355050717347,1.2619801518862601,0.42334709579635266,0.7091246591364201,0.2534532899425393,0.6128565522943366,latent_commitment,M14,observable,task_specific,foraging,364,118,12,3,interpretable,12,False,False
0.0700684712445494,1.425936737951231,0.2703974200123928,0.7071655467901448,0.2534253927950714,0.560011023839052,disengagement_accumulator,M13,observable,task_specific,foraging,364,118,6,3,interpretable,13,False,False
0.0700684712445494,1.425936737951231,0.2703974200123928,0.7071655467901448,0.2534253927950714,0.560011023839052,generic_latent_value,M15,observable,task_specific,foraging,364,118,6,3,interpretable,14,False,False
0.0700684712445494,1.425936737951231,0.2703974200123928,0.7071655467901448,0.2534253927950714,0.560011023839052,termination_advantage,M9,observable,task_specific,foraging,364,118,6,3,interpretable,15,False,False
0.8980189137668321,0.6915149248070759,0.9489937577574818,0.474787465118364,0.1566941207061653,0.8855311355311355,gru,M18,observable,shared_architecture_task_observation,solvability,313,118,26650,3,flexible,1,True,False
0.8636924039267634,0.9242766529639214,0.9293513401005226,0.4777519134608425,0.15724565735867815,0.8608930751787894,flexible_linear,M16,observable,task_specific,solvability,313,118,75,3,flexible,2,False,False
0.8279366302680722,1.1667299552995753,0.9129852412872622,0.48425792190204286,0.15789322635178782,0.8618742368742369,mlp,M17,observable,shared_architecture_task_observation,solvability,313,118,3738,3,flexible,3,False,False
0.7516727420977848,1.6838613062345231,0.8672113439663584,0.5127580998929561,0.16497971646563697,0.8621140763997907,decomposed_meta_control,M11,observable,task_specific,solvability,313,118,21,3,interpretable,4,False,True
0.6651213680177488,2.270750200534604,0.8158815778807342,0.5784382951349891,0.1934004887714926,0.787611198325484,choice_inertia,M4,observable,task_specific,solvability,313,118,15,3,interpretable,5,False,False
0.6589205046919464,2.312797110357444,0.8123698172822448,0.5758368293249689,0.19352342953947974,0.7904020582592011,finite_history,M5,observable,task_specific,solvability,313,118,24,3,interpretable,6,False,False
0.5416400826677172,3.108054007621693,0.7369997490737387,0.649739912696171,0.21709374714479554,0.7257326007326007,previous_outcome,M2,observable,task_specific,solvability,313,118,9,3,interpretable,7,False,False
0.3720511933610505,4.258004967830956,0.6138208115772694,0.6830538577141799,0.22723994678423112,0.7130865166579452,streak,M3,observable,task_specific,solvability,313,118,12,3,interpretable,8,False,False
0.17839176996832606,5.571173777382687,0.4239573619747219,0.7161959364426863,0.24759153958680785,0.6276382347810919,latent_commitment,M14,observable,task_specific,solvability,313,118,12,3,interpretable,9,False,False
0.17716803535831493,5.579471695928984,0.42755968531927596,0.7198984449493612,0.2569638425255651,0.6289464503750218,sticky_termination,M10,observable,shared_architecture_task_observation,solvability,313,118,9,3,interpretable,10,False,False
0.16910329100433152,5.6341572390186325,0.4196760479504948,0.6847283776126732,0.2412690166015081,0.6991758241758241,time,M1,observable,task_specific,solvability,313,118,9,3,interpretable,11,False,False
0.03649524252394454,6.533347942518941,0.2001847639814517,0.8162189307978722,0.30485037324418374,0.5167669631955346,disengagement_accumulator,M13,observable,task_specific,solvability,313,118,6,3,interpretable,12,False,False
0.03649524252394454,6.533347942518941,0.2001847639814517,0.8162189307978722,0.30485037324418374,0.5167669631955346,generic_latent_value,M15,observable,task_specific,solvability,313,118,6,3,interpretable,13,False,False
0.03649524252394454,6.533347942518941,0.2001847639814517,0.8162189307978722,0.30485037324418374,0.5167669631955346,termination_advantage,M9,observable,task_specific,solvability,313,118,6,3,interpretable,14,False,False
