layer,control,control_test_r_squared,test_mse,test_pearson_r,selected_alpha,random_target_r_squared,history_supported,recurrence_supported,sequence_reason,projection_dimensions,train_states,validation_states,test_states,persistence_test_r_squared,delta_r_squared_persistence_minus_control
10,terminality,0.8652990296913281,3.3350978220693253,0.9317855471432024,1.0,-0.002027181617548557,False,False,one_shot_control,128,532,108,116,0.9790103289578074,0.11371129926647927
11,terminality,0.8294099752982866,4.2236846441841065,0.9112642416948007,10.0,0.044630932057344475,False,False,one_shot_control,128,532,108,116,0.9790614528505673,0.1496514775522807
12,terminality,0.922556337625519,1.9174486206472092,0.9615662461989829,10.0,0.1018832739686486,False,False,one_shot_control,128,532,108,116,0.9793272300615503,0.056770892436031284
13,terminality,0.9607115735225924,0.9727527966359237,0.9808425668072999,10.0,-0.24644658269330044,False,False,one_shot_control,128,532,108,116,0.9771274778215142,0.016415904298921813
14,terminality,0.9692947767063962,0.7602389433274771,0.9846926704590978,10.0,-0.12089089547160725,False,False,one_shot_control,128,532,108,116,0.9769107347354257,0.007615958029029479
15,terminality,0.976686216351584,0.5772322863885242,0.9882892019996783,1.0,-0.14993110024184486,False,False,one_shot_control,128,532,108,116,0.9807563744078106,0.004070158056226569
16,terminality,0.9852986850060093,0.36399384136327373,0.9926420293318785,1.0,-0.030837498244869144,False,False,one_shot_control,128,532,108,116,0.984781164481141,-0.000517520524868309
17,terminality,0.9964035225892443,0.08904615870432843,0.998205010009112,0.1,0.035702086513329734,False,False,one_shot_control,128,532,108,116,0.9902073236244081,-0.0061961989648361415
18,terminality,0.9900300920302472,0.2468476528413968,0.9953671428001852,0.01,-0.2191157494239122,False,False,one_shot_control,128,532,108,116,0.9904204855376616,0.0003903935074144327
19,terminality,0.9975758774465239,0.06001950713496125,0.9987941972111797,1.0,0.020020498558571242,False,False,one_shot_control,128,532,108,116,0.9947319445716826,-0.002843932874841304
20,terminality,0.9970082412607885,0.07407376526269126,0.9986178799455601,1.0,-0.043713634773710375,False,False,one_shot_control,128,532,108,116,0.9940673329991836,-0.0029409082616048687
21,terminality,0.9969590039931174,0.07529284411414969,0.9985427352698331,0.1,0.06203379917778706,False,False,one_shot_control,128,532,108,116,0.99500601964368,-0.00195298434943747
22,terminality,0.9984506183139026,0.0383615609822011,0.9992429117844225,1.0,-0.09602170684073896,False,False,one_shot_control,128,532,108,116,0.9947882826045117,-0.003662335709390896
23,terminality,0.997632922943372,0.05860710222160897,0.9988474033597744,1.0,-0.13502989175642877,False,False,one_shot_control,128,532,108,116,0.9958293066034555,-0.0018036163399165472
24,terminality,0.9968160412495276,0.07883249741947317,0.9984083209689664,10.0,-0.20666507060470485,False,False,one_shot_control,128,532,108,116,0.9961353454350531,-0.0006806958144744968
25,terminality,0.9961038607022856,0.0964655685590819,0.9980751407113148,1.0,-0.08216499564872959,False,False,one_shot_control,128,532,108,116,0.9958469349851148,-0.00025692571717084167
26,terminality,0.995514077986425,0.11106815862694445,0.9977996419681304,1.0,-0.017651820049282785,False,False,one_shot_control,128,532,108,116,0.9962281916932634,0.0007141137068383818
27,terminality,0.9952683729071575,0.11715163726008641,0.9976747051106052,1.0,-0.13771209182613653,False,False,one_shot_control,128,532,108,116,0.9966188574011632,0.0013504844940056548
28,terminality,0.9941039936770496,0.1459808181152561,0.9972354241838176,1.0,-0.11525683286482469,False,False,one_shot_control,128,532,108,116,0.9971292775644476,0.003025283887397978
29,terminality,0.9952855196695916,0.11672709592294246,0.9977971408335176,1.0,0.07331372254955504,False,False,one_shot_control,128,532,108,116,0.997013179319818,0.0017276596502264763
30,terminality,0.9930048209608147,0.1731955332252722,0.9966783049001192,1.0,0.07088003232062934,False,False,one_shot_control,128,532,108,116,0.9960858666822806,0.003081045721465947
31,terminality,0.9963991911188806,0.08915340275270317,0.9982648664660883,1.0,0.08202106934062214,False,False,one_shot_control,128,532,108,116,0.9954857477078729,-0.0009134434110077416
