layer,task,analysis,source_task,target_task,variable,r_squared,pearson_r
6,solvability,semantic_variable_decoding,solvability,solvability,finite_history_prediction,0.9569817919257493,0.9785684686699844
6,solvability,semantic_variable_decoding,solvability,solvability,history_summary,0.9783465548893713,0.9891520985531003
6,solvability,semantic_variable_decoding,solvability,solvability,current_evidence,0.9621539799711387,0.9810745402927975
6,solvability,semantic_variable_decoding,solvability,solvability,history_x_current_evidence,0.7375674606220313,0.8680021412075991
6,foraging,cross_task_readout,bandit,foraging,persistence_logit,-74.72215583897784,-0.5199783042759774
6,solvability,cross_task_readout,bandit,solvability,persistence_logit,-7.366833874148346,0.17431775577387382
6,bandit,cross_task_readout,foraging,bandit,persistence_logit,-301.9671985587848,-0.5490289382722648
6,solvability,cross_task_readout,foraging,solvability,persistence_logit,-13.982295966722479,-0.053014082133579186
6,bandit,cross_task_readout,solvability,bandit,persistence_logit,-37.28363400632392,-0.6892092187087372
6,foraging,cross_task_readout,solvability,foraging,persistence_logit,-39.07299510739811,0.7024026987032288
7,bandit,semantic_variable_decoding,bandit,bandit,previous_semantic_choice,0.9990889229072751,0.9995450010127517
7,bandit,semantic_variable_decoding,bandit,bandit,previous_outcome,0.9533949509388234,0.9765360886357659
7,bandit,semantic_variable_decoding,bandit,bandit,choice_history_kernel,0.9989947779753696,0.9994972727810019
7,bandit,semantic_variable_decoding,bandit,bandit,outcome_history_kernel,0.9078895324565958,0.9528545658711971
7,bandit,semantic_variable_decoding,bandit,bandit,finite_history_prediction,0.9161569733895241,0.9572670056646815
7,bandit,semantic_variable_decoding,bandit,bandit,history_summary,0.9389279383457201,0.9690560946852187
7,bandit,semantic_variable_decoding,bandit,bandit,current_evidence,0.5672155210012308,0.7697335249745788
7,bandit,semantic_variable_decoding,bandit,bandit,history_x_current_evidence,0.6634465273186321,0.8162407089512108
7,foraging,semantic_variable_decoding,foraging,foraging,previous_semantic_choice,0.9999749916200966,0.9999875247731659
7,foraging,semantic_variable_decoding,foraging,foraging,previous_outcome,0.9944370190050846,0.9972227051059365
7,foraging,semantic_variable_decoding,foraging,foraging,choice_history_kernel,0.9999062297702992,0.999953792465887
7,foraging,semantic_variable_decoding,foraging,foraging,outcome_history_kernel,0.9887472081036164,0.9943806318156904
7,foraging,semantic_variable_decoding,foraging,foraging,finite_history_prediction,0.9800476095951918,0.9899771787409012
7,foraging,semantic_variable_decoding,foraging,foraging,history_summary,0.9644943603928066,0.9829320293073159
7,foraging,semantic_variable_decoding,foraging,foraging,current_evidence,0.9957760966772107,0.9979399026805679
7,foraging,semantic_variable_decoding,foraging,foraging,history_x_current_evidence,0.6333955496836816,0.8160782310122113
7,solvability,semantic_variable_decoding,solvability,solvability,previous_semantic_choice,0.999940304638519,0.9999702910242997
7,solvability,semantic_variable_decoding,solvability,solvability,previous_outcome,0.9698193491801795,0.984863606909788
7,solvability,semantic_variable_decoding,solvability,solvability,choice_history_kernel,0.9998997127207573,0.9999498879635682
7,solvability,semantic_variable_decoding,solvability,solvability,outcome_history_kernel,0.9605037002253196,0.9800663133879401
7,solvability,semantic_variable_decoding,solvability,solvability,finite_history_prediction,0.953367140858792,0.9765869134799784
7,solvability,semantic_variable_decoding,solvability,solvability,history_summary,0.9797872255637071,0.9898790434680773
7,solvability,semantic_variable_decoding,solvability,solvability,current_evidence,0.9842045751780144,0.992097673045385
7,solvability,semantic_variable_decoding,solvability,solvability,history_x_current_evidence,0.7742322653547479,0.8869745734210895
7,foraging,cross_task_readout,bandit,foraging,persistence_logit,-17.89900377109632,-0.7141112762583762
7,solvability,cross_task_readout,bandit,solvability,persistence_logit,-10.509376353029856,0.1258223559690656
7,bandit,cross_task_readout,foraging,bandit,persistence_logit,-45.051445381737906,-0.46210222428726183
7,solvability,cross_task_readout,foraging,solvability,persistence_logit,-4.837978668389455,0.2847846812605429
7,bandit,cross_task_readout,solvability,bandit,persistence_logit,-24.604919218813347,0.32651417702850705
7,foraging,cross_task_readout,solvability,foraging,persistence_logit,-461.1492178700513,-0.6733392580212961
8,bandit,semantic_variable_decoding,bandit,bandit,previous_semantic_choice,0.9993326615653515,0.9996663430651629
8,bandit,semantic_variable_decoding,bandit,bandit,previous_outcome,0.9525740291336104,0.9760566289542165
8,bandit,semantic_variable_decoding,bandit,bandit,choice_history_kernel,0.9989169758729708,0.9994583794068477
8,bandit,semantic_variable_decoding,bandit,bandit,outcome_history_kernel,0.9002108135812981,0.9488257089533483
8,bandit,semantic_variable_decoding,bandit,bandit,finite_history_prediction,0.9152763232408867,0.9567351039183187
8,bandit,semantic_variable_decoding,bandit,bandit,history_summary,0.9425753851038775,0.970912588985722
8,bandit,semantic_variable_decoding,bandit,bandit,current_evidence,0.5206716340685922,0.7445486088610644
8,bandit,semantic_variable_decoding,bandit,bandit,history_x_current_evidence,0.6802099853240404,0.8254488245288853
8,foraging,semantic_variable_decoding,foraging,foraging,previous_semantic_choice,0.9999365558126854,0.9999686911853434
8,foraging,semantic_variable_decoding,foraging,foraging,previous_outcome,0.9946525495031475,0.9973510707511002
8,foraging,semantic_variable_decoding,foraging,foraging,choice_history_kernel,0.9997998857233588,0.9999025924980519
8,foraging,semantic_variable_decoding,foraging,foraging,outcome_history_kernel,0.9912066199037182,0.9956482502206766
8,foraging,semantic_variable_decoding,foraging,foraging,finite_history_prediction,0.9783603163119978,0.9892597371128979
8,foraging,semantic_variable_decoding,foraging,foraging,history_summary,0.9595478674673155,0.9801091539440342
8,foraging,semantic_variable_decoding,foraging,foraging,current_evidence,0.9907859063419754,0.9955126602662522
8,foraging,semantic_variable_decoding,foraging,foraging,history_x_current_evidence,0.7681680393699752,0.8798733357419842
8,solvability,semantic_variable_decoding,solvability,solvability,previous_semantic_choice,0.9999223067403098,0.9999611948362898
8,solvability,semantic_variable_decoding,solvability,solvability,previous_outcome,0.9786097575971198,0.9894003971244993
8,solvability,semantic_variable_decoding,solvability,solvability,choice_history_kernel,0.9998963817933292,0.9999512943097071
8,solvability,semantic_variable_decoding,solvability,solvability,outcome_history_kernel,0.9702141842021488,0.985051357684029
8,solvability,semantic_variable_decoding,solvability,solvability,finite_history_prediction,0.9627426576878425,0.9812069932258425
8,solvability,semantic_variable_decoding,solvability,solvability,history_summary,0.9830084875036124,0.9914856998595772
8,solvability,semantic_variable_decoding,solvability,solvability,current_evidence,0.9843872130908852,0.9921990157858533
8,solvability,semantic_variable_decoding,solvability,solvability,history_x_current_evidence,0.6468404658593032,0.8350762667443016
8,foraging,cross_task_readout,bandit,foraging,persistence_logit,-89.61987028562817,0.6568294917959593
8,solvability,cross_task_readout,bandit,solvability,persistence_logit,-3.2858646936329636,0.05452479097525879
8,bandit,cross_task_readout,foraging,bandit,persistence_logit,-49.98035804701343,-0.433588372502395
8,solvability,cross_task_readout,foraging,solvability,persistence_logit,-7.170879821597364,0.47886626221165496
