key,feature_type,layer,rank,persistence_sensitivity,persistence_positive_fraction,cross_manipulation_transfer,cross_task_transfer,random_95th,classification,nuisance_arbitrary_choice,nuisance_generic_value,nuisance_label,nuisance_terminality
static-L14-k1,static,14,1,0.12255514413118362,0.9954921007156372,0.09692472256720067,0.06851585457722346,0.0010358865838497877,no_persistence_specific_candidate,0.040285952389240265,0.07469041645526886,0.017504088580608368,0.024925174191594124
static-L14-k2,static,14,2,0.11575395613908768,0.7535687685012817,0.11927527971565724,0.0808250904083252,0.0014505950966849923,no_persistence_specific_candidate,0.04598836228251457,0.10957576334476471,0.021714428439736366,0.031588029116392136
static-L14-k4,static,14,4,0.32148703932762146,0.938392162322998,0.13747124895453453,0.10197935005029042,0.002636892255395651,no_persistence_specific_candidate,0.057577770203351974,0.13731954991817474,0.03286349028348923,0.04649500921368599
static-L15-k1,static,15,1,0.2365763634443283,1.0,0.1080214537680149,0.07580715169509251,0.0012751966714859009,no_persistence_specific_candidate,0.005488759838044643,0.027111893519759178,0.021603595465421677,0.017283953726291656
static-L15-k2,static,15,2,0.2493143528699875,1.0,0.14969208240509033,0.09469876686731975,0.00143956218380481,no_persistence_specific_candidate,0.008566607721149921,0.04249688237905502,0.027598129585385323,0.017669985070824623
static-L15-k4,static,15,4,0.6566609740257263,0.9992486834526062,0.1976131409406662,0.10637662683924039,0.0028875386342406273,no_persistence_specific_candidate,0.03128383308649063,0.08978024125099182,0.044724587351083755,0.03551768511533737
static-L16-k1,static,16,1,0.20733386278152466,0.9977460503578186,0.06080030165612697,0.034516753939290844,0.001054137828759849,no_persistence_specific_candidate,0.01061041560024023,0.027638792991638184,0.017508380115032196,0.025796039029955864
static-L16-k2,static,16,2,0.49004626274108887,0.9984973669052124,0.19897576570510864,0.11737521861990292,0.001502751256339252,no_persistence_specific_candidate,0.027541792020201683,0.10345640033483505,0.03182443603873253,0.04980045184493065
static-L16-k4,static,16,4,0.7234444618225098,0.9969947338104248,0.299950435757637,0.16403842717409134,0.0029331303667277098,no_persistence_specific_candidate,0.03147692233324051,0.14721530675888062,0.04807549715042114,0.07831551134586334
static-L17-k1,static,17,1,0.28740957379341125,0.996243417263031,0.06390801817178726,0.04691029340028763,0.0012175716692581773,no_persistence_specific_candidate,0.030339315533638,0.051137857139110565,0.023662175983190536,0.08008255064487457
static-L17-k2,static,17,2,0.5228534936904907,0.9947407841682434,0.19428476989269255,0.1387829383214315,0.001489353715442121,no_persistence_specific_candidate,0.04864327237010002,0.0992095097899437,0.04311433434486389,0.1262989193201065
static-L17-k4,static,17,4,0.7264540195465088,0.9954921007156372,0.23247916698455812,0.19978260000546774,0.0025216685608029366,no_persistence_specific_candidate,0.05976836383342743,0.1287534236907959,0.06674385070800781,0.1500539779663086
static-L18-k1,static,18,1,0.26021620631217957,0.9969947338104248,0.040203473344445226,0.02737487604220708,0.001036752830259502,no_persistence_specific_candidate,0.027469202876091003,0.04235599562525749,0.01585821993649006,0.06922031193971634
static-L18-k2,static,18,2,0.5041803121566772,0.9947407841682434,0.15471491813659669,0.0944978545109431,0.0015139486640691757,no_persistence_specific_candidate,0.0509025976061821,0.0960485190153122,0.04234293848276138,0.1236628070473671
static-L18-k4,static,18,4,0.7434486746788025,0.9939894676208496,0.2541379779577255,0.1995625247557958,0.002494997112080455,no_persistence_specific_candidate,0.06685981899499893,0.11622200906276703,0.0649370476603508,0.1408974528312683
