task,manipulation,split,layer,mean_functional_effect,mean_absolute_effect,effect_sd,positive_fraction,pairs,readout_task
foraging,search_cost,train,15,0.7154573367855775,0.7154573367855775,0.28615882808791027,1.0,234,foraging
foraging,search_cost,validation,15,0.7916553032202852,0.7916553032202852,0.28455295112480883,1.0,22,foraging
foraging,outside_option,test,16,0.6736193627332645,0.7294557720151944,0.6170135913565682,0.8831168831168831,77,foraging
foraging,outside_option,train,16,0.6274238815470196,0.6813431755588119,0.5801321748770331,0.8911819887429644,533,foraging
foraging,outside_option,validation,16,0.8551062518722375,0.8600674162799092,0.5650463425381389,0.9782608695652174,46,foraging
foraging,search_cost,test,16,0.6715226490892903,0.6715226490892903,0.2966941984441281,1.0,38,foraging
foraging,search_cost,train,16,0.7137266371119472,0.7137266371119472,0.29805864384762626,1.0,234,foraging
foraging,search_cost,validation,16,0.7932115849815621,0.7932115849815621,0.2965826027772217,1.0,22,foraging
foraging,outside_option,test,17,0.665910499317768,0.7331832348585154,0.6265678738019824,0.8831168831168831,77,foraging
foraging,outside_option,train,17,0.6271691945620106,0.6802143904439966,0.5787058059030734,0.8930581613508443,533,foraging
foraging,outside_option,validation,17,0.849193354844752,0.8534053373595117,0.5664422170856053,0.9782608695652174,46,foraging
foraging,search_cost,test,17,0.6757913897279364,0.6757913897279364,0.28734753826416815,1.0,38,foraging
foraging,search_cost,train,17,0.7166864032591984,0.7166864032591984,0.2890010494441031,1.0,234,foraging
foraging,search_cost,validation,17,0.7937060919415694,0.7937060919415694,0.2882253824233765,1.0,22,foraging
foraging,outside_option,test,18,0.6592640572991944,0.741343817390193,0.6364128119260131,0.8311688311688312,77,foraging
foraging,outside_option,train,18,0.6227861773688812,0.6832204753701594,0.5864735853375399,0.8161350844277674,533,foraging
foraging,outside_option,validation,18,0.8494850744093546,0.859319530136714,0.5682510195451983,0.9347826086956522,46,foraging
foraging,search_cost,test,18,0.6721075670742304,0.6721075670742304,0.2868258283439377,1.0,38,foraging
foraging,search_cost,train,18,0.7133137680848537,0.7133137680848537,0.28782536723307944,1.0,234,foraging
foraging,search_cost,validation,18,0.790919532200699,0.790919532200699,0.28541943107768925,1.0,22,foraging
foraging,outside_option,test,19,0.6654521481883555,0.7328090359809606,0.6252056911375496,0.8831168831168831,77,foraging
foraging,outside_option,train,19,0.6283489372169241,0.6872208294163323,0.5832095386136844,0.8893058161350844,533,foraging
foraging,outside_option,validation,19,0.852994220766276,0.8591418708972413,0.5657432496129133,0.9782608695652174,46,foraging
foraging,search_cost,test,19,0.6754829076059164,0.6754829076059164,0.29055379825880717,1.0,38,foraging
foraging,search_cost,train,19,0.7166661579589606,0.7166661579589606,0.29253972082844737,1.0,234,foraging
foraging,search_cost,validation,19,0.7942286979174041,0.7942286979174041,0.2925221902423956,1.0,22,foraging
foraging,outside_option,test,20,0.6576834740921591,0.7365378910251409,0.6365441936560882,0.7922077922077922,77,foraging
foraging,outside_option,train,20,0.6282572270026243,0.6875609295042722,0.5833981646167259,0.8424015009380863,533,foraging
foraging,outside_option,validation,20,0.852719854281618,0.8586324098429851,0.5666841444036078,0.9130434782608695,46,foraging
foraging,search_cost,test,20,0.6751436504837824,0.6751436504837824,0.29196300585847784,1.0,38,foraging
foraging,search_cost,train,20,0.7164406432985713,0.7164406432985713,0.293341928179324,1.0,234,foraging
foraging,search_cost,validation,20,0.7942174003029844,0.7942174003029844,0.29215146736040143,1.0,22,foraging
foraging,outside_option,test,21,0.6597409519244686,0.7380625693205837,0.6374081773567313,0.8831168831168831,77,foraging
foraging,outside_option,train,21,0.6291284679108421,0.6891047426504762,0.5838674111865474,0.8911819887429644,533,foraging
foraging,outside_option,validation,21,0.849963511720472,0.8571703328193394,0.5710875050778143,0.9782608695652174,46,foraging
foraging,search_cost,test,21,0.6747812648216267,0.6747812648216267,0.29202315474671947,1.0,38,foraging
foraging,search_cost,train,21,0.7162507749365938,0.7162507749365938,0.29364525071060443,1.0,234,foraging
foraging,search_cost,validation,21,0.7943524426722852,0.7943524426722852,0.2928127155155019,1.0,22,foraging
foraging,outside_option,test,22,0.6626262685245289,0.7339044251329491,0.6324055060624721,0.8831168831168831,77,foraging
foraging,outside_option,train,22,0.6293866246751518,0.6897198255538938,0.5843072329245527,0.8893058161350844,533,foraging
foraging,outside_option,validation,22,0.8521698748220751,0.858282772056973,0.5697543840542708,0.9782608695652174,46,foraging
foraging,search_cost,test,22,0.6745242316189775,0.6745242316189775,0.29391177386887024,1.0,38,foraging
foraging,search_cost,train,22,0.7162257636296504,0.7162257636296504,0.29546123408473335,1.0,234,foraging
foraging,search_cost,validation,22,0.7947644101711102,0.7947644101711102,0.2944847934810301,1.0,22,foraging
foraging,outside_option,test,23,0.6644359713324217,0.7347422333437275,0.6293227675023441,0.8831168831168831,77,foraging
foraging,outside_option,train,23,0.6286329860599362,0.6903917124618336,0.5846855680784192,0.8893058161350844,533,foraging
foraging,outside_option,validation,23,0.8514158474436594,0.857885804488586,0.5697124495553784,0.9782608695652174,46,foraging
foraging,search_cost,test,23,0.67438373991915,0.67438373991915,0.2935987251064025,1.0,38,foraging
foraging,search_cost,train,23,0.7159928850334275,0.7159928850334275,0.29509742638497954,1.0,234,foraging
foraging,search_cost,validation,23,0.7943575345668343,0.7943575345668343,0.294061553085501,1.0,22,foraging
foraging,outside_option,test,24,0.6671533789477753,0.7368873974605419,0.6269462971777977,0.8441558441558441,77,foraging
foraging,outside_option,train,24,0.6280260664275807,0.6893467852006756,0.5845772315081186,0.849906191369606,533,foraging
foraging,outside_option,validation,24,0.8506977876294478,0.859016501704587,0.5710480321980244,0.9347826086956522,46,foraging
foraging,search_cost,test,24,0.6743954705015806,0.6743954705015806,0.29510354019720153,1.0,38,foraging
foraging,search_cost,train,24,0.7161471764090456,0.7161471764090456,0.2965510631286303,1.0,234,foraging
foraging,search_cost,validation,24,0.7947803180387126,0.7947803180387126,0.29544794071190655,1.0,22,foraging
foraging,outside_option,test,25,0.6658194086441148,0.7358891603914364,0.6283832528978766,0.8831168831168831,77,foraging
foraging,outside_option,train,25,0.6284705303529851,0.689272767810904,0.584094915553336,0.8893058161350844,533,foraging
foraging,outside_option,validation,25,0.8511017183860953,0.8579096831703912,0.5701229418311222,0.9782608695652174,46,foraging
foraging,search_cost,test,25,0.6744937731990861,0.6744937731990861,0.2949803174734231,1.0,38,foraging
foraging,search_cost,train,25,0.7162350088600206,0.7162350088600206,0.29644724576523535,1.0,234,foraging
foraging,search_cost,validation,25,0.7948484313342558,0.7948484313342558,0.29537938145578313,1.0,22,foraging
foraging,outside_option,test,26,0.6676678332833902,0.7361519109946156,0.6257178019654028,0.8831168831168831,77,foraging
foraging,outside_option,train,26,0.6288370177970604,0.6901664860248793,0.5833708141827518,0.8893058161350844,533,foraging
foraging,outside_option,validation,26,0.8507557308296277,0.8581769739513013,0.5697840767872364,0.9782608695652174,46,foraging
foraging,search_cost,test,26,0.6744444603489252,0.6744444603489252,0.29363519831949997,1.0,38,foraging
foraging,search_cost,train,26,0.7160578592475184,0.7160578592475184,0.2950368376004921,1.0,234,foraging
foraging,search_cost,validation,26,0.7944305201523708,0.7944305201523708,0.2938051949380421,1.0,22,foraging
foraging,outside_option,test,27,0.6697378880743828,0.735866218395785,0.625432280384624,0.8831168831168831,77,foraging
foraging,outside_option,train,27,0.630213335523617,0.6877997645640901,0.5817595221421926,0.8893058161350844,533,foraging
foraging,outside_option,validation,27,0.850748821824508,0.8593311675890355,0.572275430399079,0.9782608695652174,46,foraging
foraging,search_cost,test,27,0.6732054724103462,0.6732054724103462,0.2952005557594266,1.0,38,foraging
foraging,search_cost,train,27,0.715160540780425,0.715160540780425,0.296546399831078,1.0,234,foraging
foraging,search_cost,validation,27,0.7941766854270299,0.7941766854270299,0.2950835563975809,1.0,22,foraging
foraging,outside_option,test,28,0.6629238768596348,0.738258516871443,0.6335322497435196,0.8831168831168831,77,foraging
foraging,outside_option,train,28,0.6299865956400925,0.6887379839962908,0.5814254018996291,0.8911819887429644,533,foraging
foraging,outside_option,validation,28,0.8523627069445938,0.8590262469131046,0.5687601305866039,0.9782608695652174,46,foraging
foraging,search_cost,test,28,0.6736905565164969,0.6736905565164969,0.29536673522465207,1.0,38,foraging
foraging,search_cost,train,28,0.7156152750594091,0.7156152750594091,0.2966662022666201,1.0,234,foraging
foraging,search_cost,validation,28,0.79457426031082,0.79457426031082,0.295150817193117,1.0,22,foraging
foraging,outside_option,test,29,0.6586427046619586,0.7365042591447095,0.6373697793081761,0.8831168831168831,77,foraging
foraging,outside_option,train,29,0.6291945867515463,0.6869226881438754,0.5819961955100619,0.8911819887429644,533,foraging
foraging,outside_option,validation,29,0.8509779212956383,0.8563714795328046,0.5698144067214617,0.9782608695652174,46,foraging
foraging,search_cost,test,29,0.6741439276569213,0.6741439276569213,0.2939864388765306,1.0,38,foraging
foraging,search_cost,train,29,0.7158921739465912,0.7158921739465912,0.2952411585829436,1.0,234,foraging
foraging,search_cost,validation,29,0.7945187998995895,0.7945187998995895,0.2936388667038526,1.0,22,foraging
foraging,outside_option,test,30,0.663683183307397,0.7347999196716211,0.6311656095473016,0.8051948051948052,77,foraging
foraging,outside_option,train,30,0.6288144725100657,0.687875716511921,0.5836236663321692,0.8442776735459663,533,foraging
foraging,outside_option,validation,30,0.8529927642972968,0.8596294400312362,0.5687381723980779,0.9130434782608695,46,foraging
foraging,search_cost,test,30,0.674644688122938,0.674644688122938,0.29432185602207683,1.0,38,foraging
foraging,search_cost,train,30,0.7164036169170551,0.7164036169170551,0.29593605316183286,1.0,234,foraging
foraging,search_cost,validation,30,0.7950503617817692,0.7950503617817692,0.2950851025105976,1.0,22,foraging
foraging,outside_option,test,31,0.656416974566484,0.7346298655335041,0.6346976109825996,0.8831168831168831,77,foraging
foraging,outside_option,train,31,0.6281704618068935,0.6838773989521475,0.5804782257519807,0.8911819887429644,533,foraging
foraging,outside_option,validation,31,0.8534176344318926,0.8572103807185508,0.5616390554623135,0.9782608695652174,46,foraging
foraging,search_cost,test,31,0.6745733374354316,0.6745733374354316,0.2863379236661855,1.0,38,foraging
foraging,search_cost,train,31,0.7152826170090292,0.7152826170090292,0.28785559580181447,1.0,234,foraging
foraging,search_cost,validation,31,0.7919525033472561,0.7919525033472561,0.28685432252713844,1.0,22,foraging
solvability,progress_evidence,test,0,2.5217998520250573,2.5217998520250573,1.0260094149819077,1.0,46,solvability
solvability,progress_evidence,train,0,2.466151810351788,2.513519032667097,1.157452813425417,0.9707792207792207,308,solvability
solvability,progress_evidence,validation,0,2.5792706728089576,2.6261795266913137,1.2294904375842295,0.9210526315789473,38,solvability
solvability,progress_evidence,test,1,2.5167788979129777,2.5167788979129777,0.9879585013408353,1.0,46,solvability
solvability,progress_evidence,train,1,2.355817990108597,2.366543849102557,1.1021441350808903,0.9837662337662337,308,solvability
solvability,progress_evidence,validation,1,2.564757310186398,2.5664994154292056,1.1267495610016303,0.9736842105263158,38,solvability
solvability,progress_evidence,test,2,2.5271883233196024,2.5271883233196024,1.0958108333934244,1.0,46,solvability
solvability,progress_evidence,train,2,2.40396638114367,2.421484702282223,1.151743144510836,0.961038961038961,308,solvability
solvability,progress_evidence,validation,2,2.6289744975734184,2.633962333331495,1.2107015505817722,0.9736842105263158,38,solvability
solvability,progress_evidence,test,3,2.490202616269974,2.490202616269974,1.0395997711300449,1.0,46,solvability
solvability,progress_evidence,train,3,2.37312850745575,2.373312865105287,1.0735023468338993,0.9967532467532467,308,solvability
solvability,progress_evidence,validation,3,2.658534082346763,2.658534082346763,1.0752044827260452,1.0,38,solvability
solvability,progress_evidence,test,4,2.506864354013999,2.523696361947985,1.0628405838154258,0.9782608695652174,46,solvability
solvability,progress_evidence,train,4,2.3509075246210553,2.3869755399683523,1.1694737201476697,0.9707792207792207,308,solvability
solvability,progress_evidence,validation,4,2.5295693224924363,2.5419554274135456,1.1923795131079107,0.9473684210526315,38,solvability
solvability,progress_evidence,test,5,2.5986575020068985,2.60971181102098,0.9975153686694767,0.9782608695652174,46,solvability
solvability,progress_evidence,train,5,2.354097704121464,2.3930819282132383,1.1736742202142016,0.9707792207792207,308,solvability
solvability,progress_evidence,validation,5,2.549400921153071,2.549400921153071,1.1684833825616243,1.0,38,solvability
solvability,progress_evidence,test,6,2.5440204297383913,2.5440204297383913,1.0389832725952093,1.0,46,solvability
solvability,progress_evidence,train,6,2.354351691085806,2.370763912866659,1.1478976419033782,0.974025974025974,308,solvability
solvability,progress_evidence,validation,6,2.562781402986272,2.562781402986272,1.186499164793902,1.0,38,solvability
solvability,progress_evidence,test,7,2.4884448062704867,2.4884448062704867,1.054715495603403,1.0,46,solvability
solvability,progress_evidence,train,7,2.3677633598152843,2.383408473794255,1.1591357475648372,0.9805194805194806,308,solvability
solvability,progress_evidence,validation,7,2.5692543969867243,2.5877257107457563,1.2908932256967298,0.9473684210526315,38,solvability
solvability,progress_evidence,test,8,2.4622942710575915,2.4622942710575915,1.1202294526457723,1.0,46,solvability
solvability,progress_evidence,train,8,2.356366198585624,2.368328057800956,1.1348297437642325,0.9902597402597403,308,solvability
solvability,progress_evidence,validation,8,2.5204569091362017,2.541020865642777,1.2799272906932568,0.9736842105263158,38,solvability
solvability,progress_evidence,test,9,2.4096431072056186,2.4400198138327625,1.1927762690771428,0.9782608695652174,46,solvability
solvability,progress_evidence,train,9,2.321274709111722,2.3273311176445244,1.1150574974287681,0.9935064935064936,308,solvability
solvability,progress_evidence,validation,9,2.5817231695115233,2.5828844283543,1.1928663809184927,0.9736842105263158,38,solvability
solvability,progress_evidence,test,10,2.4252439931123857,2.4252439931123857,1.1144051433981625,1.0,46,solvability
solvability,progress_evidence,train,10,2.371745102697138,2.371745102697138,1.0612668404644838,1.0,308,solvability
solvability,progress_evidence,validation,10,2.560179916837749,2.560179916837749,1.1542530348413471,1.0,38,solvability
solvability,progress_evidence,test,11,2.4829931241839787,2.4829931241839787,1.067155969120191,1.0,46,solvability
solvability,progress_evidence,train,11,2.3339390866384955,2.334208535569324,1.1263098193443142,0.9967532467532467,308,solvability
solvability,progress_evidence,validation,11,2.5760078519627467,2.5760078519627467,1.1917164372546514,1.0,38,solvability
solvability,progress_evidence,test,12,2.3451227756501076,2.3451227756501076,1.1726512068066204,1.0,46,solvability
solvability,progress_evidence,train,12,2.352161592882835,2.3537798785338997,1.0925111686113902,0.9902597402597403,308,solvability
solvability,progress_evidence,validation,12,2.575566812135568,2.590682176544063,1.1470413060545983,0.9736842105263158,38,solvability
solvability,progress_evidence,test,13,2.531609540853937,2.538320064774824,1.036480600994667,0.9782608695652174,46,solvability
solvability,progress_evidence,train,13,2.348392740088482,2.35078012648521,1.1060182816465858,0.987012987012987,308,solvability
solvability,progress_evidence,validation,13,2.646732688202347,2.646732688202347,1.1231938489840183,1.0,38,solvability
solvability,progress_evidence,test,14,2.5364269306326093,2.5364269306326093,1.0537158561738924,1.0,46,solvability
solvability,progress_evidence,train,14,2.3426002665499124,2.3429810818715215,1.108566649616588,0.9967532467532467,308,solvability
solvability,progress_evidence,validation,14,2.555516515805114,2.568429894359444,1.1693144677927605,0.9736842105263158,38,solvability
solvability,progress_evidence,test,15,2.5656704131848813,2.5741981338962425,1.072384997768514,0.9782608695652174,46,solvability
solvability,progress_evidence,train,15,2.3692614956811617,2.3692614956811617,1.117698933771799,1.0,308,solvability
solvability,progress_evidence,validation,15,2.590068330853265,2.593777148220264,1.1835450913191101,0.9736842105263158,38,solvability
solvability,progress_evidence,test,16,2.539763964631901,2.539763964631901,1.062370253054279,1.0,46,solvability
solvability,progress_evidence,train,16,2.347095894126351,2.347095894126351,1.134012549466291,1.0,308,solvability
solvability,progress_evidence,validation,16,2.5963726343735574,2.607268807977377,1.2167814565665576,0.9736842105263158,38,solvability
solvability,progress_evidence,test,17,2.554347727702534,2.554347727702534,1.047607570694693,1.0,46,solvability
solvability,progress_evidence,train,17,2.3576431085950964,2.3578716842195035,1.1502588438516346,0.9967532467532467,308,solvability
solvability,progress_evidence,validation,17,2.5660708440653432,2.5660708440653432,1.1804739579587125,1.0,38,solvability
solvability,progress_evidence,test,18,2.5629810545557836,2.5629810545557836,1.0489647754732907,1.0,46,solvability
solvability,progress_evidence,train,18,2.3715072791777527,2.3715072791777527,1.1304181610043145,1.0,308,solvability
solvability,progress_evidence,validation,18,2.5861918711953122,2.59287711990795,1.1857860338938235,0.9736842105263158,38,solvability
solvability,progress_evidence,test,19,2.536215465310349,2.536215465310349,1.0803962687697337,1.0,46,solvability
solvability,progress_evidence,train,19,2.3709341291706876,2.3709341291706876,1.1326744141476845,1.0,308,solvability
