model,sharing,information_set,selected_hyperparameters,task,states,log_loss,brier,auc,calibration_error,calibration_intercept,calibration_slope,deviance_explained,policy_logit_correlation,bootstrap_unit,log_loss_ci_low,log_loss_ci_high
time_only,hierarchical,observable,"{""penalty"": 0.01}",bandit,1800,0.18358159595588616,0.03917860461148711,0.7696040857455365,0.07286903219871971,0.8199857819397183,0.35326986896890356,-0.15450363445203896,-0.746845287664218,episode,0.1560741210451957,0.23323385912024525
time_only,hierarchical,observable,"{""penalty"": 0.01}",foraging,364,0.6253488845314519,0.21697643874795744,0.7286585365853658,0.14516352859071005,3.4608607973630225,4.958798244701149,0.007346640342985156,-0.7464600045041939,episode,0.60942458442235,0.6430031971292348
time_only,hierarchical,observable,"{""penalty"": 0.01}",information_sampling,40,0.7980398856160762,0.29944218229433545,0.5151515151515151,0.2279152815472152,145.41813072133502,194.66088097711858,-0.15970770680612945,0.8714707263198048,episode,0.7095761683770361,0.9345164691932143
time_only,hierarchical,observable,"{""penalty"": 0.01}",partial_reinforcement,20,0.6995454600522586,0.253198347120939,0.8333333333333333,0.11887089369545423,4.906446198206724,57.02387243795888,-0.03942545775010675,-0.9471237584991621,episode,0.6927947418824306,0.7086787846349671
time_only,hierarchical,observable,"{""penalty"": 0.01}",solvability,313,0.6617914324581289,0.23445491251929473,0.5953035060177917,0.14959326051686295,1.2013107984438298,1.2776676774937752,-0.0012758479088359476,-0.03255447664256579,episode,0.6291232571705582,0.7056003893468518
immediate_state,task_specific,observable,"{""penalty"": 0.01}",bandit,1800,0.1526801506984895,0.03539818696084223,0.7858385510416757,0.025504148754800324,0.5897340877319068,0.1654648253015504,0.03982864964063182,-0.7280649937034692,episode,0.11428769330296007,0.2157865458656784
immediate_state,task_specific,observable,"{""penalty"": 0.01}",foraging,364,0.5830271359218371,0.1975215435253752,0.727917872399063,0.12497398373980659,0.6115470503082139,0.48866327162346274,0.07452646105278093,-0.6818391056375891,episode,0.566243961088824,0.6028768784834697
immediate_state,task_specific,observable,"{""penalty"": 0.01}",information_sampling,40,0.7911940143709066,0.29354950795710516,0.4646464646464647,0.246132286083108,0.5358706585978552,-0.024609430447559772,-0.14975931978196888,-0.17707144983988607,episode,0.7117671633854108,0.9072685945417593
immediate_state,task_specific,observable,"{""penalty"": 0.01}",partial_reinforcement,20,0.6691721129693067,0.2380722714130444,0.7083333333333333,0.4868714957205602,0.5423981428275226,1.2633569413257515,0.005705033401593007,-0.6659466299606253,episode,0.6543507259186803,0.6898259044545784
immediate_state,task_specific,observable,"{""penalty"": 0.01}",solvability,313,0.5297965520386401,0.1742368848012776,0.8143206000348858,0.121439380609565,0.578176286115553,0.36115951080969877,0.1984294962971892,-0.729865515714805,episode,0.5047880510667839,0.5575654012570112
immediate_state,fully_shared,observable,"{""penalty"": 0.01}",bandit,1800,0.17597307277060326,0.03794688742369263,0.5442076978064094,0.046225269875538565,0.12386149236647029,0.036023290092148774,-0.1066553323143209,0.2325100563728449,episode,0.14817807726847307,0.2238463896633055
immediate_state,fully_shared,observable,"{""penalty"": 0.01}",foraging,364,0.6117071408211844,0.21074493638820951,0.6459625189472233,0.12988416948420833,0.7424183865852086,0.5609030761562009,0.029000988916298875,-0.344959213936787,episode,0.5924753392918676,0.6356537266945123
immediate_state,fully_shared,observable,"{""penalty"": 0.01}",information_sampling,40,0.7821152660264694,0.2915808329371633,0.5252525252525253,0.2793977176246087,0.5754155267516038,0.03878481450421042,-0.13656612654317568,-0.36765572995375423,episode,0.710619355286629,0.8854330904377855
immediate_state,fully_shared,observable,"{""penalty"": 0.01}",partial_reinforcement,20,0.6973655344984997,0.25206530220718903,0.5,0.49801802116337984,0.6154362911885115,-0.13648013480271587,-0.03618639718010774,0.023431190639785687,episode,0.6830058473240256,0.7083803774489551
immediate_state,fully_shared,observable,"{""penalty"": 0.01}",solvability,313,0.6198326728638986,0.2149819712673563,0.6797488226059655,0.13470586071610505,0.621061722498654,0.479985544517276,0.062206830363179866,-0.5374371949528093,episode,0.5950503809985863,0.6492542460861291
immediate_state,hierarchical,observable,"{""penalty"": 0.01}",bandit,1800,0.16355661425260198,0.03628417483690255,0.49290764871545334,0.024161642447264688,-0.005975433879732786,-0.015079789629385705,-0.028570999233895833,0.3849561356307529,episode,0.12989275579356935,0.22123792494936376
immediate_state,hierarchical,observable,"{""penalty"": 0.01}",foraging,364,0.6051563849820784,0.20758058946558264,0.6687680859859446,0.11929480088841966,0.697499520776548,0.5767678977607325,0.03939939203626852,-0.46073040207508903,episode,0.5880740771736828,0.6255087642765493
immediate_state,hierarchical,observable,"{""penalty"": 0.01}",information_sampling,40,0.7909618209478516,0.2952283101340213,0.5277777777777778,0.29232717963883503,0.5769939196739935,0.0390165745233734,-0.14942189742120715,-0.25435736493914424,episode,0.7125913069880123,0.9171046376710381
immediate_state,hierarchical,observable,"{""penalty"": 0.01}",partial_reinforcement,20,0.6826586325782158,0.24477641923953025,0.625,0.490736653366695,0.5930041630556362,0.040570524013376665,-0.01433402427008268,-0.05446881313050092,episode,0.6649063134250239,0.6936888429005169
immediate_state,hierarchical,observable,"{""penalty"": 0.01}",solvability,313,0.5945435412020816,0.2034846181637555,0.7501744287458573,0.1247153493518784,0.629932989666952,0.45570959217806656,0.10046872906064619,-0.6241345266928434,episode,0.5681511573812532,0.6239020775716528
finite_history,task_specific,observable,"{""history_lag"": 2, ""penalty"": 0.01}",bandit,1800,0.12885446543864637,0.03276435120715461,0.8498893300376364,0.017013516262687656,0.12834915902185914,0.02094557682757909,0.18966306023377777,-0.8195263478451248,episode,0.09311397201035204,0.18899053096569074
finite_history,task_specific,observable,"{""history_lag"": 2, ""penalty"": 0.01}",foraging,364,0.5419095319633164,0.18175756789695682,0.7624190436819622,0.08181505845371943,0.4642638414794424,0.22681584162155546,0.13979487156742276,-0.8291057059494227,episode,0.509663735015573,0.578880024114627
finite_history,task_specific,observable,"{""history_lag"": 2, ""penalty"": 0.01}",information_sampling,40,0.8016361252080237,0.2982312877100363,0.5202020202020201,0.20957427410551965,0.5996510395666294,0.06970527721921031,-0.16493374480933443,-0.8559205024277992,episode,0.7360733182653753,0.8869977323791604
finite_history,task_specific,observable,"{""history_lag"": 2, ""penalty"": 0.01}",partial_reinforcement,20,0.6056578255579013,0.21040320955387853,0.75,0.3476314056058212,0.5375851574586508,0.13424122077756262,0.10007826721736268,-0.687428875976719,episode,0.35902877632425145,0.8894227228025099
